(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2017-02-04,,,,
(1000.000 -11.396), Александров Олег, (0) - (5), Бакаев Павел, (951.163 +11.396)
(988.604 -8.674), Александров Олег, (0) - (5), Лазарев Максим, (1034.946 +8.674)
(979.930 +12.088), Александров Олег, (5) - (0), Овешников Андрей, (1053.568 -12.088)
(992.018 +7.881), Александров Олег, (5) - (0), Каракасиян Вания, (917.255 -7.881)
(999.899 -8.484), Александров Олег, (0) - (5), Пугачев Никита, (1052.994 +8.484)
(991.415 -10.518), Александров Олег, (0) - (5), Рачинский Олег, (973.394 +10.518)
(980.897 +9.500), Александров Олег, (5) - (0), Кулаев Лев, (963.508 -9.500)
(990.397 -8.112), Александров Олег, (0) - (5), Пугачев Никита, (1056.795 +8.112)
2017-03-04,,,,
(982.285 +10.509), Александров Олег, (5) - (0), Зернов Дмитрий, (1000.000 -10.509)
(992.794 -11.771), Александров Олег, (0) - (5), Хохлов Тимофей, (930.616 +11.771)
(981.024 +10.700), Александров Олег, (5) - (0), Лазарев Максим, (1005.367 -10.700)
(991.723 +9.270), Александров Олег, (5) - (0), Шурыгин Егор, (966.319 -9.270)
(1000.993 +10.532), Александров Олег, (5) - (0), Дрожалин Максим, (1019.478 -10.532)
2017-04-15,,,,
(1011.525 +8.511), Александров Олег, (5) - (0), Стахмич Николай, (959.405 -8.511)
(1020.036 +9.394), Александров Олег, (5) - (0), Зернов Дмитрий, (998.958 -9.394)
(1029.430 +10.554), Александров Олег, (5) - (0), Токун Дмитрий, (1048.681 -10.554)
(1039.983 -6.906), Александров Олег, (0) - (5), Борц Ларик, (1151.117 +6.906)
(1033.077 +8.240), Александров Олег, (5) - (0), Шурыгин Егор, (971.293 -8.240)
2017-05-20,,,,
(1041.317 +7.265), Александров Олег, (5) - (0), Стахмич Николай, (943.796 -7.265)
(1048.582 -10.730), Александров Олег, (0) - (5), Дрожалин Максим, (1023.161 +10.730)
(1037.852 -11.270), Александров Олег, (0) - (5), Александрова Елизавета, (993.491 +11.270)
(1026.582 -10.318), Александров Олег, (0) - (5), Токун Дмитрий, (1015.531 +10.318)
2017-06-25,,,,
(1016.264 +8.151), Александров Олег, (5) - (0), Ложкин Александр, (951.267 -8.151)
(1024.415 -11.078), Александров Олег, (0) - (5), Лазарев Максим, (986.826 +11.078)
(1013.337 +7.382), Александров Олег, (5) - (0), Яковлев Артем, (920.210 -7.382)
(1020.719 -8.706), Александров Олег, (0) - (5), Фомичев Артем, (1065.929 +8.706)
(1012.013 -6.800), Александров Олег, (0) - (5), Борц Ларик, (1127.229 +6.800)
(1005.213 +10.067), Александров Олег, (5) - (0), Дрожалин Максим, (1007.553 -10.067)
(1015.280 +11.350), Александров Олег, (5) - (0), Нелипович Виктор, (1062.475 -11.350)
(1026.630 +10.468), Александров Олег, (5) - (0), Токун Дмитрий, (1042.893 -10.468)
2017-08-06,,,,
(1037.098 +7.350), Александров Олег, (5) - (0), Парфиевич Дмитрий, (942.777 -7.350)
(1044.448 -5.334), Александров Олег, (0) - (4), Борц Ларик, (1164.829 +5.334)
(1039.114 +10.304), Александров Олег, (5) - (0), Пугачев Никита, (1049.667 -10.304)
(1049.417 +11.129), Александров Олег, (5) - (0), Нелипович Виктор, (1088.813 -11.129)
(1060.547 +6.566), Александров Олег, (5) - (0), Яковлев Артем, (936.203 -6.566)
2017-09-09,,,,
(1067.113 +8.759), Александров Олег, (5) - (0), Зернов Дмитрий, (1023.768 -8.759)
(1075.872 +6.211), Александров Олег, (5) - (0), Стахмич Николай, (937.341 -6.211)
(1082.083 +7.880), Александров Олег, (5) - (0), Рачинский Олег, (1007.295 -7.880)
(1089.963 +8.627), Александров Олег, (5) - (0), Токун Дмитрий, (1041.965 -8.627)
(1098.591 +11.092), Александров Олег, (5) - (0), Борц Ларик, (1136.690 -11.092)
2017-10-28_MOS_National,,,,
(1109.683 -12.206), Александров Олег, (0) - (5), Нелипович Виктор, (1031.757 +12.206)
(1097.477 +8.693), Александров Олег, (5) - (0), Пугачев Никита, (1051.811 -8.693)
(1106.170 +7.703), Александров Олег, (5) - (0), Токун Дмитрий, (1024.905 -7.703)
(1113.873 -10.976), Александров Олег, (0) - (5), Зернов Дмитрий, (1079.868 +10.976)
(1102.897 -12.941), Александров Олег, (0) - (5), Лазарев Максим, (997.604 +12.941)
