(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-10-16_MOS_National,,,,
(1000.000 +8.221), Бригадирова Анастасия, (5) - (0), Бакаев Павел, (937.526 -8.221)
(1008.221 +10.099), Бригадирова Анастасия, (5) - (0), Пугачев Никита, (1011.655 -10.099)
(1018.320 -5.636), Бригадирова Анастасия, (0) - (5), Самигулин Максум, (1180.849 +5.636)
(1012.684 +9.490), Бригадирова Анастасия, (5) - (0), Лазарев Максим, (994.940 -9.490)
(1022.174 +8.430), Бригадирова Анастасия, (5) - (0), Афанасьев Сергей, (967.182 -8.430)
(1030.604 -11.026), Бригадирова Анастасия, (0) - (5), Нелипович Виктор, (994.825 +11.026)
2017-02-23_VOLG,,,,
(1019.578 +9.433), Бригадирова Анастасия, (5) - (0), Мальцев Дмитрий, (999.842 -9.433)
(1029.010 +7.563), Бригадирова Анастасия, (4) - (0), Нагих Андрей, (1010.000 -7.563)
(1036.573 +6.709), Бригадирова Анастасия, (4) - (0), Рудичев Александр, (980.012 -6.709)
