(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2017-03-04,,,,
(1000.000 +10.191), Дрожалин Максим, (5) - (0), Лазарев Максим, (1006.626 -10.191)
(1010.191 -10.124), Дрожалин Максим, (0) - (5), Токун Дмитрий, (1005.898 +10.124)
(1000.067 +7.595), Дрожалин Максим, (5) - (0), Каракасиян Вания, (914.833 -7.595)
(1007.662 +11.816), Дрожалин Максим, (5) - (0), Пугачев Никита, (1071.450 -11.816)
(1019.478 -10.532), Дрожалин Максим, (0) - (5), Александров Олег, (1000.993 +10.532)
2017-05-20,,,,
(1008.946 +14.215), Дрожалин Максим, (5) - (0), Борц Ларик, (1165.140 -14.215)
(1023.161 +10.730), Дрожалин Максим, (5) - (0), Александров Олег, (1048.582 -10.730)
(1033.892 +10.607), Дрожалин Максим, (5) - (0), Иванов Владимир, (1055.004 -10.607)
(1044.499 +8.634), Дрожалин Максим, (5) - (0), Лазарев Максим, (996.738 -8.634)
(1053.133 -10.241), Дрожалин Максим, (0) - (5), Нелипович Виктор, (1044.760 +10.241)
