(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2017-03-04,,,,
(1000.000 -10.509), Зернов Дмитрий, (0) - (5), Александров Олег, (982.285 +10.509)
(989.491 +9.257), Зернов Дмитрий, (4) - (0), Иванов Владимир, (1044.558 -9.257)
(998.748 +11.131), Зернов Дмитрий, (5) - (0), Овсянников Евгений, (1038.199 -11.131)
(1009.879 +8.900), Зернов Дмитрий, (5) - (0), Парфиевич Дмитрий, (971.520 -8.900)
(1018.779 -10.414), Зернов Дмитрий, (0) - (5), Александрова Елизавета, (1004.393 +10.414)
2017-04-15,,,,
(1008.365 -9.407), Зернов Дмитрий, (0) - (5), Токун Дмитрий, (1028.975 +9.407)
(998.958 -9.394), Зернов Дмитрий, (0) - (5), Александров Олег, (1020.036 +9.394)
(989.564 +8.914), Зернов Дмитрий, (5) - (0), Парфиевич Дмитрий, (951.691 -8.914)
(998.478 +10.155), Зернов Дмитрий, (5) - (0), Александрова Елизавета, (1003.856 -10.155)
(1008.633 -9.572), Зернов Дмитрий, (0) - (5), Нелипович Виктор, (1023.524 +9.572)
2017-06-25,,,,
(999.061 -10.658), Зернов Дмитрий, (0) - (5), Лазарев Максим, (976.168 +10.658)
(988.403 +11.312), Зернов Дмитрий, (5) - (0), Пугачев Никита, (1034.238 -11.312)
(999.715 -6.660), Зернов Дмитрий, (0) - (5), Зубко Дмитрий, (1120.391 +6.660)
(993.055 +9.732), Зернов Дмитрий, (5) - (0), Александрова Елизавета, (983.743 -9.732)
(1002.787 +10.949), Зернов Дмитрий, (5) - (0), Токун Дмитрий, (1035.845 -10.949)
(1013.735 +11.271), Зернов Дмитрий, (5) - (0), Ветошкин Митя, (1058.149 -11.271)
(1025.007 -9.766), Зернов Дмитрий, (0) - (5), Токун Дмитрий, (1033.127 +9.766)
(1015.241 +8.528), Зернов Дмитрий, (5) - (0), Александрова Елизавета, (963.716 -8.528)
