(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-10-16_MOS_National,,,,
(1000.000 -10.447), Мальцев Дмитрий, (0) - (5), Нелипович Виктор, (984.458 +10.447)
(989.553 +11.237), Мальцев Дмитрий, (5) - (0), Смирнов Антон, (1032.769 -11.237)
(1000.790 +9.962), Мальцев Дмитрий, (5) - (0), Башмаков Денис, (999.479 -9.962)
(1010.753 -10.214), Мальцев Дмитрий, (0) - (5), Яковлев Артем, (1003.302 +10.214)
(1000.538 +12.385), Мальцев Дмитрий, (5) - (0), Овешников Андрей, (1085.031 -12.385)
(1012.923 -11.773), Мальцев Дмитрий, (0) - (5), Шурыгин Егор, (950.679 +11.773)
(1001.151 +8.560), Мальцев Дмитрий, (5) - (0), Хохлов Тимофей, (950.787 -8.560)
(1009.711 -9.869), Мальцев Дмитрий, (0) - (5), Сучков Николай, (1014.256 +9.869)
2017-02-23_VOLG,,,,
(999.842 -9.433), Мальцев Дмитрий, (0) - (5), Бригадирова Анастасия, (1019.578 +9.433)
(990.409 +9.988), Мальцев Дмитрий, (5) - (0), Рудичев Александр, (990.000 -9.988)
(1000.398 +10.059), Мальцев Дмитрий, (5) - (0), Нагих Андрей, (1002.437 -10.059)
