(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-02-06_spb,,,,
(1000.000 -10.000), Мартынов Родион, (0) - (5), Кириченко Сергей, (1000.000 +10.000)
(990.000 +10.000), Мартынов Родион, (5) - (0), Ильичев Павел, (990.000 -10.000)
(1000.000 +9.997), Мартынов Родион, (5) - (0), Поталицын Михаил, (999.885 -9.997)
(1009.997 -10.460), Мартынов Родион, (0) - (5), Ветошкин Дмитрий, (993.997 +10.460)
2016-09-30_SPB_Summer,,,,
(999.536 +10.013), Мартынов Родион, (5) - (0), Резниченко Роман, (1000.000 -10.013)
(1009.550 +10.678), Мартынов Родион, (5) - (0), Ревзин Игорь, (1033.133 -10.678)
(1020.228 +10.164), Мартынов Родион, (5) - (0), Фомичев Артем, (1025.918 -10.164)
2016-11-20_SPB_Trident,,,,
(1030.391 +10.226), Мартынов Родион, (5) - (0), Кириченко Сергей, (1038.239 -10.226)
(1040.617 -9.737), Мартынов Родион, (0) - (5), Фомичев Артем, (1049.768 +9.737)
(1030.880 +9.203), Мартынов Родион, (5) - (0), Матвеев Михаил, (1003.147 -9.203)
(1040.084 +12.007), Мартынов Родион, (5) - (0), Ревзин Игорь, (1110.776 -12.007)
2017-05-21_SPB,,,,
(1052.091 +11.698), Мартынов Родион, (5) - (0), Фомичев Артем, (1111.667 -11.698)
(1063.789 -9.125), Мартынов Родион, (0) - (5), Ревзин Игорь, (1094.284 +9.125)
(1054.665 +7.149), Мартынов Родион, (5) - (0), Поталицын Михаил, (952.795 -7.149)
(1061.814 -11.325), Мартынов Родион, (0) - (5), Ветошкин Митя, (1015.504 +11.325)
