(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-11-20_SPB_Trident,,,,
(1000.000 -7.506), Матвеев Михаил, (0) - (5), Ревзин Игорь, (1088.511 +7.506)
(992.494 +10.653), Матвеев Михаил, (5) - (0), Ветошкин Митя, (1015.204 -10.653)
(1003.147 -9.203), Матвеев Михаил, (0) - (5), Мартынов Родион, (1030.880 +9.203)
(993.943 +7.324), Матвеев Михаил, (5) - (0), Ильичев Павел, (898.664 -7.324)
2016-12-10_SPB,,,,
(1001.267 -9.634), Матвеев Михаил, (0) - (5), Пугачев Никита, (1013.979 +9.634)
(991.633 +10.158), Матвеев Михаил, (4) - (0), Ревзин Игорь, (1087.725 -10.158)
(1001.791 +9.255), Матвеев Михаил, (5) - (0), Селин Олег, (975.870 -9.255)
(1011.046 -8.879), Матвеев Михаил, (0) - (5), Фомичев Артем, (1050.161 +8.879)
(1002.167 +8.958), Матвеев Михаил, (5) - (0), Поталицин Михаил, (965.825 -8.958)
