(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-01-23,,,,
(1000.000 -10.000), Парфиевич Дмитрий, (0) - (5), Лазарев Максим, (1000.000 +10.000)
(990.000 -10.000), Парфиевич Дмитрий, (0) - (5), Пугачев Никита, (990.000 +10.000)
(980.000 -9.995), Парфиевич Дмитрий, (0) - (5), Токун Дмитрий, (980.159 +9.995)
(970.005 -9.708), Парфиевич Дмитрий, (0) - (5), Овсянников Евгений, (980.166 +9.708)
2016-05-28_MOS_Spring,,,,
(960.297 +10.340), Парфиевич Дмитрий, (5) - (0), Хохлов Тимофей, (972.127 -10.340)
(970.637 -10.345), Парфиевич Дмитрий, (0) - (5), Каракасиян Вания, (958.648 +10.345)
(960.292 +12.703), Парфиевич Дмитрий, (5) - (0), Овешников Андрей, (1056.588 -12.703)
(972.995 -9.201), Парфиевич Дмитрий, (0) - (5), Махов Роман, (1000.826 +9.201)
(963.794 -9.819), Парфиевич Дмитрий, (0) - (5), Лазарев Максим, (970.095 +9.819)
2016-08-06_MOS_Team,,,,
(953.976 +8.907), Парфиевич Дмитрий, (5) - (0), Каракасиян Вания, (915.839 -8.907)
(962.883 -7.213), Парфиевич Дмитрий, (0) - (5), Овешников Андрей, (1062.345 +7.213)
(955.670 -9.472), Парфиевич Дмитрий, (0) - (5), Лазарев Максим, (974.031 +9.472)
2016-10-16_MOS_National,,,,
(946.198 -8.067), Парфиевич Дмитрий, (0) - (4), Хохлов Тимофей, (943.277 +8.067)
(938.130 -8.788), Парфиевич Дмитрий, (0) - (5), Стахмич Николай, (980.448 +8.788)
(929.342 +12.593), Парфиевич Дмитрий, (5) - (0), Смирнов Антон, (1021.531 -12.593)
(941.935 -6.844), Парфиевич Дмитрий, (0) - (5), Зубко Дмитрий, (1055.479 +6.844)
(935.092 -7.382), Парфиевич Дмитрий, (0) - (5), Овсянников Евгений, (1028.202 +7.382)
2016-11-12_MOS_Trident,,,,
(927.709 +9.751), Парфиевич Дмитрий, (5) - (0), Каракасиян Вания, (919.040 -9.751)
(937.460 +14.145), Парфиевич Дмитрий, (5) - (0), Борц Ларик, (1090.686 -14.145)
(951.605 -7.823), Парфиевич Дмитрий, (0) - (5), Нелипович Виктор, (1028.483 +7.823)
(943.782 -6.573), Парфиевич Дмитрий, (0) - (5), Овсянников Евгений, (1067.858 +6.573)
(937.209 -8.047), Парфиевич Дмитрий, (0) - (5), Пугачев Никита, (1005.932 +8.047)
2016-12-17,,,,
(929.161 -6.287), Парфиевич Дмитрий, (0) - (5), Зубко Дмитрий, (1064.653 +6.287)
(922.875 -10.597), Парфиевич Дмитрий, (0) - (5), Каракасиян Вания, (902.111 +10.597)
(912.278 +12.436), Парфиевич Дмитрий, (5) - (0), Рачинский Олег, (998.639 -12.436)
(924.713 +9.793), Парфиевич Дмитрий, (5) - (0), Хохлов Тимофей, (917.533 -9.793)
(934.507 +10.998), Парфиевич Дмитрий, (5) - (0), Стахмич Николай, (969.285 -10.998)
2017-01-22,,,,
(945.505 +8.917), Парфиевич Дмитрий, (5) - (0), Хохлов Тимофей, (907.739 -8.917)
(954.422 +11.652), Парфиевич Дмитрий, (5) - (0), Ложкин Александр, (1012.337 -11.652)
(966.073 +10.238), Парфиевич Дмитрий, (5) - (0), Яковлев Артем, (974.342 -10.238)
(976.311 -6.810), Парфиевич Дмитрий, (0) - (5), Зубко Дмитрий, (1091.166 +6.810)
(969.502 +8.784), Парфиевич Дмитрий, (5) - (0), Каракасиян Вания, (927.029 -8.784)
2017-02-04,,,,
(978.285 -7.230), Парфиевич Дмитрий, (0) - (5), Овсянников Евгений, (1077.091 +7.230)
(971.055 +10.082), Парфиевич Дмитрий, (5) - (0), Рачинский Олег, (973.912 -10.082)
(981.137 +11.779), Парфиевич Дмитрий, (5) - (0), Лазарев Максим, (1043.620 -11.779)
(992.916 -8.773), Парфиевич Дмитрий, (0) - (5), Ветошкин Митя, (1035.771 +8.773)
(984.144 -9.512), Парфиевич Дмитрий, (0) - (5), Гирник Илья, (1001.108 +9.512)
2017-03-04,,,,
(974.632 +9.143), Парфиевич Дмитрий, (5) - (0), Стахмич Николай, (944.784 -9.143)
(983.775 -3.835), Парфиевич Дмитрий, (0) - (5), Самигулин Максум, (1233.708 +3.835)
(979.940 -8.420), Парфиевич Дмитрий, (0) - (5), Иванов Владимир, (1035.300 +8.420)
(971.520 -8.900), Парфиевич Дмитрий, (0) - (5), Зернов Дмитрий, (1009.879 +8.900)
(962.619 +8.232), Парфиевич Дмитрий, (5) - (0), Каракасиян Вания, (900.557 -8.232)
2017-04-15,,,,
(970.852 -8.742), Парфиевич Дмитрий, (0) - (5), Александрова Елизавета, (1014.807 +8.742)
(962.110 -10.419), Парфиевич Дмитрий, (0) - (5), Бакаев Павел, (947.543 +10.419)
(951.691 -8.914), Парфиевич Дмитрий, (0) - (5), Зернов Дмитрий, (989.564 +8.914)
2017-08-06,,,,
(942.777 -7.350), Парфиевич Дмитрий, (0) - (5), Александров Олег, (1037.098 +7.350)
(935.427 +12.467), Парфиевич Дмитрий, (5) - (0), Рачинский Олег, (1022.932 -12.467)
(947.894 +9.631), Парфиевич Дмитрий, (5) - (0), Яковлев Артем, (935.069 -9.631)
(957.525 -5.921), Парфиевич Дмитрий, (0) - (5), Зубко Дмитрий, (1107.994 +5.921)
(951.604 +7.482), Парфиевич Дмитрий, (4) - (0), Стахмич Николай, (929.054 -7.482)
