(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-11-20_SPB_Trident,,,,
(1000.000 +6.165), Поталицин Михаил, (4) - (0), Ильичев Павел, (918.861 -6.165)
(1006.165 -5.976), Поталицин Михаил, (0) - (4), Ревзин Игорь, (1096.017 +5.976)
(1000.189 -7.205), Поталицин Михаил, (0) - (4), Кириченко Сергей, (1034.811 +7.205)
(992.984 -7.567), Поталицин Михаил, (0) - (4), Ветошкин Дмитрий, (1011.785 +7.567)
2016-12-10_SPB,,,,
(985.416 +7.778), Поталицин Михаил, (4) - (0), Селин Олег, (975.791 -7.778)
(993.194 -9.127), Поталицин Михаил, (0) - (5), Пугачев Никита, (1023.613 +9.127)
(984.068 -10.864), Поталицин Михаил, (0) - (5), Яковлев Артем, (953.960 +10.864)
(973.203 -7.378), Поталицин Михаил, (0) - (5), Ревзин Игорь, (1066.464 +7.378)
(965.825 -8.958), Поталицин Михаил, (0) - (5), Матвеев Михаил, (1002.167 +8.958)
