(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-02-06_spb,,,,
(1000.000 +10.000), Ревзин Игорь, (5) - (0), Ильичев Павел, (1000.000 -10.000)
(1010.000 -6.115), Ревзин Игорь, (1) - (4), Елизаров Антон, (1006.000 +6.115)
(1003.885 +9.888), Ревзин Игорь, (5) - (0), Фомичев Артем, (1000.000 -9.888)
(1013.773 -9.540), Ревзин Игорь, (0) - (5), Кириченко Сергей, (1029.773 +9.540)
2016-03-19_spb,,,,
(1004.233 -9.532), Ревзин Игорь, (0) - (5), Овешников Андрей, (1020.512 +9.532)
(994.701 +9.868), Ревзин Игорь, (5) - (0), Фомичев Артем, (990.118 -9.868)
(1004.570 -9.572), Ревзин Игорь, (0) - (5), Журавлев Илья, (1019.459 +9.572)
(994.998 +8.549), Ревзин Игорь, (5) - (0), Ильичев Павел, (944.222 -8.549)
(1003.547 +10.062), Ревзин Игорь, (5) - (0), Ветошкин Митя, (1005.709 -10.062)
2016-04-02_MOS_SC,,,,
(1013.609 +9.759), Ревзин Игорь, (5) - (0), Кулаев Лев, (1005.238 -9.759)
(1023.368 +9.895), Ревзин Игорь, (5) - (0), Мухин Анатолий, (1019.707 -9.895)
(1033.263 +10.355), Ревзин Игорь, (5) - (0), Журавлев Илья, (1045.608 -10.355)
(1043.618 +5.420), Ревзин Игорь, (4) - (1), Чердаков Евгений, (1023.456 -5.420)
(1049.038 -9.315), Ревзин Игорь, (0) - (5), Зубко Дмитрий, (1072.885 +9.315)
(1039.723 +11.217), Ревзин Игорь, (5) - (0), Зубко Дмитрий, (1082.200 -11.217)
(1050.940 -9.467), Ревзин Игорь, (0) - (5), Борц Ларик, (1069.478 +9.467)
2016-06-11_SPB_Spring,,,,
(1041.473 +4.804), Ревзин Игорь, (4) - (1), Ветошкин Митя, (999.726 -4.804)
(1046.277 -10.395), Ревзин Игорь, (0) - (5), Кириченко Сергей, (1032.533 +10.395)
(1035.882 -11.100), Ревзин Игорь, (0) - (5), Фомичев Артем, (997.522 +11.100)
2016-06-25_MOS_Regional,,,,
(1024.782 +9.135), Ревзин Игорь, (5) - (0), Гаврилов Андрей, (994.665 -9.135)
(1033.918 +9.313), Ревзин Игорь, (5) - (0), Афанасьев Сергей, (1010.000 -9.313)
(1043.230 -8.087), Ревзин Игорь, (0) - (5), Борц Ларик, (1110.524 +8.087)
(1035.143 -9.573), Ревзин Игорь, (0) - (5), Овсянников Евгений, (1049.972 +9.573)
(1025.570 -9.216), Ревзин Игорь, (0) - (5), Овешников Андрей, (1052.861 +9.216)
(1016.354 -11.178), Ревзин Игорь, (0) - (5), Кулаев Лев, (975.242 +11.178)
(1005.176 +7.944), Ревзин Игорь, (5) - (0), Каракасиян Вания, (932.724 -7.944)
(1013.120 +9.786), Ревзин Игорь, (5) - (0), Пугачев Никита, (1005.675 -9.786)
2016-09-30_SPB_Summer,,,,
(1022.906 +10.227), Ревзин Игорь, (5) - (0), Кириченко Сергей, (1030.782 -10.227)
(1033.133 -10.678), Ревзин Игорь, (0) - (5), Мартынов Родион, (1009.550 +10.678)
(1022.455 +9.783), Ревзин Игорь, (5) - (0), Ветошкин Митя, (1014.923 -9.783)
2016-10-16_MOS_National,,,,
(1032.238 +9.075), Ревзин Игорь, (5) - (0), Хохлушина Наталья, (1000.000 -9.075)
(1041.313 +8.694), Ревзин Игорь, (5) - (0), Гаврилов Андрей, (995.693 -8.694)
(1050.007 +9.558), Ревзин Игорь, (5) - (0), Фомичев Артем, (1034.653 -9.558)
(1059.566 -6.501), Ревзин Игорь, (0) - (5), Самигулин Максум, (1186.485 +6.501)
(1053.064 +8.959), Ревзин Игорь, (5) - (0), Токун Дмитрий, (1016.748 -8.959)
(1062.023 +9.209), Ревзин Игорь, (5) - (0), Иванов Владимир, (1034.499 -9.209)
(1071.232 +8.140), Ревзин Игорь, (5) - (0), Нелипович Виктор, (1005.851 -8.140)
(1079.373 +9.138), Ревзин Игорь, (5) - (0), Фомичев Артем, (1049.350 -9.138)
2016-11-20_SPB_Trident,,,,
(1088.511 +7.506), Ревзин Игорь, (5) - (0), Матвеев Михаил, (1000.000 -7.506)
(1096.017 +5.547), Ревзин Игорь, (4) - (0), Поталицын Михаил, (985.954 -5.547)
(1101.564 +8.795), Ревзин Игорь, (5) - (0), Фомичев Артем, (1059.504 -8.795)
(1110.359 -11.996), Ревзин Игорь, (0) - (5), Мартынов Родион, (1040.084 +11.996)
2016-12-10_SPB,,,,
(1098.364 -11.032), Ревзин Игорь, (0) - (5), Борц Ларик, (1062.382 +11.032)
(1087.332 -10.150), Ревзин Игорь, (0) - (4), Матвеев Михаил, (991.622 +10.150)
(1077.182 -11.094), Ревзин Игорь, (0) - (5), Фомичев Артем, (1039.021 +11.094)
(1066.088 +6.928), Ревзин Игорь, (5) - (0), Поталицын Михаил, (955.783 -6.928)
(1073.016 +6.705), Ревзин Игорь, (5) - (0), Селин Олег, (954.105 -6.705)
2017-02-04,,,,
(1079.721 +7.237), Ревзин Игорь, (5) - (0), Рачинский Олег, (981.148 -7.237)
(1086.958 +9.924), Ревзин Игорь, (5) - (0), Овсянников Евгений, (1084.322 -9.924)
(1096.882 -9.807), Ревзин Игорь, (0) - (5), Зубко Дмитрий, (1103.573 +9.807)
(1087.074 +6.565), Ревзин Игорь, (5) - (0), Стахмич Николай, (962.668 -6.565)
(1093.639 +8.043), Ревзин Игорь, (5) - (0), Нелипович Виктор, (1024.740 -8.043)
(1101.682 -9.251), Ревзин Игорь, (0) - (5), Борц Ларик, (1127.769 +9.251)
2017-03-12_SPB,,,,
(1092.431 +5.883), Ревзин Игорь, (5) - (0), Поталицын Михаил, (940.377 -5.883)
(1098.314 -11.715), Ревзин Игорь, (0) - (5), Кириченко Сергей, (1038.140 +11.715)
(1086.599 +8.327), Ревзин Игорь, (5) - (0), Ветошкин Митя, (1027.914 -8.327)
(1094.926 +10.787), Ревзин Игорь, (5) - (0), Фомичев Артем, (1122.323 -10.787)
2017-05-21_SPB,,,,
(1105.713 -12.250), Ревзин Игорь, (0) - (5), Ветошкин Митя, (1026.168 +12.250)
(1093.463 +9.148), Ревзин Игорь, (5) - (0), Мартынов Родион, (1063.774 -9.148)
(1102.610 +7.897), Ревзин Игорь, (5) - (0), Матвеев Михаил, (1028.426 -7.897)
(1110.507 +3.886), Ревзин Игорь, (4) - (0), Поталицын Михаил, (913.008 -3.886)
2017-06-25,,,,
(1114.393 +8.307), Ревзин Игорь, (5) - (0), Нелипович Виктор, (1055.001 -8.307)
(1122.700 +10.228), Ревзин Игорь, (5) - (0), Зубко Дмитрий, (1130.619 -10.228)
(1132.928 +7.060), Ревзин Игорь, (5) - (0), Овешников Андрей, (1027.662 -7.060)
(1139.988 -14.095), Ревзин Игорь, (0) - (5), Рачинский Олег, (988.858 +14.095)
(1125.893 -6.179), Ревзин Игорь, (0) - (5), Самигулин Максум, (1265.752 +6.179)
(1119.714 -11.110), Ревзин Игорь, (0) - (5), Фомичев Артем, (1081.001 +11.110)
2017-09-18_SPB,,,,
(1108.605 +9.698), Ревзин Игорь, (5) - (0), Фомичев Артем, (1098.115 -9.698)
(1118.303 +6.284), Ревзин Игорь, (5) - (0), Логинов Сергей, (982.719 -6.284)
(1124.587 +3.999), Ревзин Игорь, (4) - (0), Поталицын Михаил, (933.687 -3.999)
(1128.586 +6.220), Ревзин Игорь, (5) - (0), Сергеев Роман, (990.399 -6.220)
2017-10-28_MOS_National,,,,
(1134.806 +6.687), Ревзин Игорь, (5) - (0), Дрожалин Максим, (1015.185 -6.687)
(1141.493 -12.329), Ревзин Игорь, (0) - (5), Зернов Дмитрий, (1059.065 +12.329)
(1129.164 +9.087), Ревзин Игорь, (5) - (0), Зубко Дмитрий, (1097.345 -9.087)
(1138.251 -12.114), Ревзин Игорь, (0) - (4), Ложкин Александр, (940.719 +12.114)
(1126.136 +9.449), Ревзин Игорь, (5) - (0), Борц Ларик, (1106.959 -9.449)
(1135.585 -12.526), Ревзин Игорь, (0) - (5), Дрожалин Максим, (1045.899 +12.526)
