(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-04-02_MOS_SC,,,,
(1000.000 -10.590), Ганихин Дмитрий, (0) - (5), Фомичев Артем, (979.466 +10.590)
(989.410 -9.603), Ганихин Дмитрий, (0) - (5), Пугачев Никита, (1003.219 +9.603)
(979.807 +10.270), Ганихин Дмитрий, (5) - (0), Годелашвили Александр, (989.191 -10.270)
(990.077 +9.749), Ганихин Дмитрий, (5) - (0), Кулаев Лев, (981.349 -9.749)
(999.826 -10.299), Ганихин Дмитрий, (0) - (5), Ветошкин Дмитрий, (989.427 +10.299)
2016-04-30_MOS_Spring,,,,
(989.527 +9.695), Ганихин Дмитрий, (5) - (0), Годелашвили Александр, (978.921 -9.695)
(999.221 -9.160), Ганихин Дмитрий, (0) - (5), Мухин Анатолий, (1028.465 +9.160)
(990.061 -8.726), Ганихин Дмитрий, (0) - (5), Журавлев Илья, (1034.561 +8.726)
(981.335 -9.595), Ганихин Дмитрий, (0) - (5), Колмаков Петр, (995.402 +9.595)
(971.740 +9.591), Ганихин Дмитрий, (5) - (0), Каракасиян Вания, (957.514 -9.591)
