(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-02-27,,,,
(1000.000 +10.000), Годелашвили Александр, (5) - (0), Щекотилов Андрей, (1000.000 -10.000)
(1010.000 -9.704), Годелашвили Александр, (0) - (5), Овешников Андрей, (1020.279 +9.704)
(1000.296 -9.953), Годелашвили Александр, (0) - (5), Чердаков Евгений, (1001.939 +9.953)
(990.343 +10.913), Годелашвили Александр, (5) - (0), Журавлев Илья, (1022.139 -10.913)
(1001.256 +9.135), Годелашвили Александр, (5) - (0), Смирнов Антон, (971.115 -9.135)
2016-04-02_MOS_SC,,,,
(1010.390 -10.864), Годелашвили Александр, (0) - (5), Лазарев Максим, (980.291 +10.864)
(999.526 -10.335), Годелашвили Александр, (0) - (5), Каракасиян Вания, (987.884 +10.335)
(989.191 -10.270), Годелашвили Александр, (0) - (5), Ганихин Дмитрий, (979.807 +10.270)
2016-04-30_MOS_Spring,,,,
(978.921 -9.695), Годелашвили Александр, (0) - (5), Ганихин Дмитрий, (989.527 +9.695)
(969.226 +10.450), Годелашвили Александр, (5) - (0), Лазарев Максим, (984.888 -10.450)
(979.677 -9.830), Годелашвили Александр, (0) - (5), Колмаков Петр, (985.572 +9.830)
(969.846 +6.350), Годелашвили Александр, (4) - (1), Шурыгин Егор, (982.015 -6.350)
(976.197 -8.331), Годелашвили Александр, (0) - (5), Журавлев Илья, (1034.733 +8.331)
