(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-02-06_spb,,,,
(1000.000 -10.000), Ильичев Павел, (0) - (5), Ревзин Игорь, (1000.000 +10.000)
(990.000 -10.000), Ильичев Павел, (0) - (5), Мартынов Родион, (990.000 +10.000)
(980.000 -9.882), Ильичев Павел, (0) - (5), Ветошкин Митя, (984.115 +9.882)
(970.118 -9.432), Ильичев Павел, (0) - (5), Поталицын Михаил, (989.888 +9.432)
2016-03-19_spb,,,,
(960.687 -8.135), Ильичев Павел, (0) - (5), Борц Ларик, (1026.240 +8.135)
(952.552 -8.330), Ильичев Павел, (0) - (5), Журавлев Илья, (1011.130 +8.330)
(944.222 -8.549), Ильичев Павел, (0) - (5), Ревзин Игорь, (994.998 +8.549)
(935.673 +11.109), Ильичев Павел, (5) - (0), Щекотилов Андрей, (974.366 -11.109)
2016-06-11_SPB_Spring,,,,
(946.782 +10.693), Ильичев Павел, (5) - (0), Поталицын Михаил, (970.883 -10.693)
(957.475 -9.112), Ильичев Павел, (0) - (5), Фомичев Артем, (988.410 +9.112)
(948.363 -8.866), Ильичев Павел, (0) - (5), Ветошкин Митя, (987.926 +8.866)
2016-06-25_MOS_Regional,,,,
(939.496 +10.393), Ильичев Павел, (5) - (0), Каракасиян Вания, (953.156 -10.393)
(949.889 -6.362), Ильичев Павел, (1) - (4), Хохлов Тимофей, (937.322 +6.362)
(943.528 -9.285), Ильичев Павел, (0) - (5), Токун Дмитрий, (968.421 +9.285)
(934.243 -6.891), Ильичев Павел, (0) - (5), Овешников Андрей, (1045.970 +6.891)
(927.352 -8.492), Ильичев Павел, (0) - (5), Афанасьев Сергей, (980.164 +8.492)
