(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-11-12_MOS_Trident,,,,
(1000.000 +10.000), Борц Ларик, (5) - (0), Иванов Владимир, (1000.000 -10.000)
(1010.000 -10.000), Борц Ларик, (0) - (5), Парфиевич Дмитрий, (1010.000 +10.000)
(1000.000 +10.000), Борц Ларик, (5) - (0), Каракасиян Вания, (1000.000 -10.000)
(1010.000 -10.575), Борц Ларик, (0) - (5), Самигулин Максум, (990.000 +10.575)
(999.425 -9.983), Борц Ларик, (0) - (5), Лазарев Максим, (1000.016 +9.983)
2016-12-10_SPB,,,,
(989.442 +10.806), Борц Ларик, (5) - (0), Ревзин Игорь, (1017.495 -10.806)
(1000.248 -9.703), Борц Ларик, (0) - (5), Зубко Дмитрий, (1010.572 +9.703)
(990.545 -9.771), Борц Ларик, (0) - (5), Ветошкин Митя, (998.485 +9.771)
(980.773 +9.237), Борц Ларик, (5) - (0), Яковлев Артем, (954.201 -9.237)
(990.010 -9.404), Борц Ларик, (0) - (5), Овешников Андрей, (1010.736 +9.404)
2016-12-17,,,,
(980.606 +7.768), Борц Ларик, (4) - (0), Стахмич Николай, (970.527 -7.768)
(988.374 +8.045), Борц Ларик, (4) - (0), Бакаев Павел, (990.320 -8.045)
(996.419 +10.087), Борц Ларик, (5) - (0), Афанасьев Сергей, (999.442 -10.087)
(1006.506 +10.350), Борц Ларик, (5) - (0), Овсянников Евгений, (1018.662 -10.350)
(1016.855 +10.982), Борц Ларик, (5) - (0), Лазарев Максим, (1051.075 -10.982)
2017-01-22,,,,
(1027.837 +9.826), Борц Ларик, (5) - (0), Самигулин Максум, (1021.796 -9.826)
(1037.663 -12.053), Борц Ларик, (0) - (5), Каракасиян Вания, (965.305 +12.053)
(1025.610 +9.071), Борц Ларик, (5) - (0), Ложкин Александр, (993.246 -9.071)
(1034.681 +7.687), Борц Ларик, (5) - (0), Яковлев Артем, (952.833 -7.687)
(1042.368 +9.620), Борц Ларик, (5) - (0), Овешников Андрей, (1029.143 -9.620)
2017-02-04,,,,
