(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-11-20_SPB_Trident,,,,
(1000.000 -10.000), Ветошкин Дмитрий, (0) - (5), Фомичев Артем, (1000.000 +10.000)
(990.000 -10.000), Ветошкин Дмитрий, (0) - (5), Матвеев Михаил, (990.000 +10.000)
(980.000 +10.056), Ветошкин Дмитрий, (5) - (0), Ильичев Павел, (981.942 -10.056)
(990.056 +8.046), Ветошкин Дмитрий, (4) - (0), Поталицин Михаил, (992.046 -8.046)
2016-12-10_SPB,,,,
(998.102 -10.233), Ветошкин Дмитрий, (0) - (5), Овешников Андрей, (990.000 +10.233)
(987.869 +10.616), Ветошкин Дмитрий, (5) - (0), Фомичев Артем, (1009.315 -10.616)
(998.485 +9.771), Ветошкин Дмитрий, (5) - (0), Борц Ларик, (990.545 -9.771)
(1008.257 -9.212), Ветошкин Дмитрий, (0) - (5), Пугачев Никита, (1035.676 +9.212)
(999.044 +9.044), Ветошкин Дмитрий, (5) - (0), Ильичев Павел, (965.742 -9.044)
(1008.089 -9.653), Ветошкин Дмитрий, (0) - (5), Овешников Андрей, (1020.140 +9.653)
2017-02-04,,,,
(998.435 -8.439), Ветошкин Дмитрий, (0) - (5), Самигулин Максум, (1053.108 +8.439)
(989.996 +10.024), Ветошкин Дмитрий, (5) - (0), Смирнов Антон, (990.836 -10.024)
(1000.020 +10.793), Ветошкин Дмитрий, (5) - (0), Овсянников Евгений, (1027.642 -10.793)
(1010.814 +10.747), Ветошкин Дмитрий, (5) - (0), Парфиевич Дмитрий, (1036.832 -10.747)
(1021.561 -8.685), Ветошкин Дмитрий, (0) - (5), Борц Ларик, (1067.516 +8.685)
(1012.876 -8.815), Ветошкин Дмитрий, (0) - (5), Фомичев Артем, (1054.246 +8.815)
2017-03-12_SPB,,,,
(1004.061 -8.283), Ветошкин Дмитрий, (0) - (5), Фомичев Артем, (1064.330 +8.283)
(995.779 +9.857), Ветошкин Дмитрий, (5) - (0), Поталицын Михаил, (990.801 -9.857)
(1005.635 -9.408), Ветошкин Дмитрий, (0) - (5), Ревзин Игорь, (1026.237 +9.408)
(996.228 +8.684), Ветошкин Дмитрий, (5) - (0), Ильичев Павел, (950.236 -8.684)
