(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2017-03-04,,,,
(1000.000 +10.136), Дрожалин Максим, (5) - (0), Лазарев Максим, (1004.737 -10.136)
(1010.136 -10.169), Дрожалин Максим, (0) - (5), Токун Дмитрий, (1004.271 +10.169)
(999.968 +8.787), Дрожалин Максим, (5) - (0), Каракасиян Вания, (957.604 -8.787)
(1008.754 +11.685), Дрожалин Максим, (5) - (0), Пугачев Никита, (1067.870 -11.685)
(1020.439 -10.470), Дрожалин Максим, (0) - (5), Александров Олег, (1004.093 +10.470)
2017-05-20,,,,
(1009.969 +13.101), Дрожалин Максим, (5) - (0), Борц Ларик, (1121.368 -13.101)
(1023.070 +10.801), Дрожалин Максим, (5) - (0), Александров Олег, (1050.969 -10.801)
(1033.871 +9.941), Дрожалин Максим, (5) - (0), Иванов Владимир, (1031.815 -9.941)
(1043.812 +8.613), Дрожалин Максим, (5) - (0), Лазарев Максим, (995.303 -8.613)
(1052.425 -10.421), Дрожалин Максим, (0) - (5), Нелипович Виктор, (1037.803 +10.421)
