(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-11-12_MOS_Trident,,,,
(1000.000 -10.000), Иванов Владимир, (0) - (5), Борц Ларик, (1000.000 +10.000)
(990.000 +10.000), Иванов Владимир, (5) - (0), Яковлев Артем, (990.000 -10.000)
(1000.000 +10.000), Иванов Владимир, (5) - (0), Токун Дмитрий, (1000.000 -10.000)
(1010.000 -10.000), Иванов Владимир, (0) - (5), Смирнов Антон, (1010.000 +10.000)
(1000.000 +10.000), Иванов Владимир, (5) - (0), Овешников Андрей, (1000.000 -10.000)
2017-03-04,,,,
(1010.000 +8.489), Иванов Владимир, (5) - (0), Яковлев Артем, (957.095 -8.489)
(1018.489 -8.665), Иванов Владимир, (0) - (4), Зернов Дмитрий, (989.528 +8.665)
(1009.824 +10.190), Иванов Владимир, (5) - (0), Парфиевич Дмитрий, (1016.417 -10.190)
(1020.013 -8.200), Иванов Владимир, (0) - (5), Борц Ларик, (1083.248 +8.200)
2017-05-20,,,,
(1011.814 +9.695), Иванов Владимир, (5) - (0), Александрова Елизавета, (1001.228 -9.695)
(1021.509 +10.306), Иванов Владимир, (5) - (0), Токун Дмитрий, (1032.151 -10.306)
(1031.815 -9.941), Иванов Владимир, (0) - (5), Дрожалин Максим, (1033.871 +9.941)
(1021.874 +12.763), Иванов Владимир, (5) - (0), Борц Ларик, (1120.425 -12.763)
(1034.637 +9.195), Иванов Владимир, (5) - (0), Бакаев Павел, (1006.617 -9.195)
