(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-11-12_MOS_Trident,,,,
(1000.000 -10.000), Каракасиян Вания, (0) - (5), Парфиевич Дмитрий, (1000.000 +10.000)
(990.000 +10.000), Каракасиян Вания, (5) - (0), Лазарев Максим, (990.000 -10.000)
(1000.000 -10.000), Каракасиян Вания, (0) - (5), Борц Ларик, (1000.000 +10.000)
(990.000 -10.000), Каракасиян Вания, (0) - (5), Овешников Андрей, (990.000 +10.000)
2016-12-17,,,,
(980.000 -9.425), Каракасиян Вания, (0) - (5), Афанасьев Сергей, (1000.000 +9.425)
(970.575 +10.311), Каракасиян Вания, (5) - (0), Парфиевич Дмитрий, (981.386 -10.311)
(980.886 -9.179), Каракасиян Вания, (0) - (5), Овсянников Евгений, (1009.483 +9.179)
(971.707 -8.128), Каракасиян Вания, (0) - (4), Стахмич Николай, (966.149 +8.128)
(963.579 -9.297), Каракасиян Вания, (0) - (5), Рачинский Олег, (988.055 +9.297)
2017-01-22,,,,
(954.283 +11.022), Каракасиян Вания, (5) - (0), Афанасьев Сергей, (989.929 -11.022)
(965.305 +12.053), Каракасиян Вания, (5) - (0), Борц Ларик, (1037.663 -12.053)
(977.358 -8.027), Каракасиян Вания, (0) - (5), Зубко Дмитрий, (1046.835 +8.027)
(969.332 +11.051), Каракасиян Вания, (5) - (0), Рачинский Олег, (1005.988 -11.051)
(980.383 -8.899), Каракасиян Вания, (0) - (5), Парфиевич Дмитрий, (1018.781 +8.899)
2017-02-04,,,,
(971.483 -9.181), Каракасиян Вания, (0) - (5), Журавлев Илья, (1000.000 +9.181)
(962.302 +12.357), Каракасиян Вания, (5) - (0), Пугачев Никита, (1045.758 -12.357)
(974.659 -9.274), Каракасиян Вания, (0) - (5), Гирник Илья, (999.938 +9.274)
(965.386 -9.245), Каракасиян Вания, (0) - (5), Александров Олег, (991.677 +9.245)
(956.141 +10.650), Каракасиян Вания, (5) - (0), Овешников Андрей, (978.763 -10.650)
2017-03-04,,,,
(966.791 -9.187), Каракасиян Вания, (0) - (5), Токун Дмитрий, (995.083 +9.187)
(957.604 -8.787), Каракасиян Вания, (0) - (5), Дрожалин Максим, (999.968 +8.787)
(948.817 -8.811), Каракасиян Вания, (0) - (5), Овсянников Евгений, (990.316 +8.811)
(940.006 -8.394), Каракасиян Вания, (0) - (5), Парфиевич Дмитрий, (996.286 +8.394)
