(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-11-20_SPB_Trident,,,,
(1000.000 -10.000), Кириченко Сергей, (0) - (5), Мартынов Родион, (1000.000 +10.000)
(990.000 +10.058), Кириченко Сергей, (5) - (0), Ильичев Павел, (992.000 -10.058)
(1000.058 +8.000), Кириченко Сергей, (4) - (0), Поталицын Михаил, (1000.046 -8.000)
(1008.057 -9.946), Кириченко Сергей, (0) - (5), Фомичев Артем, (1009.941 +9.946)
2017-03-12_SPB,,,,
(998.112 +8.814), Кириченко Сергей, (5) - (0), Ильичев Павел, (956.698 -8.814)
(1006.925 +10.829), Кириченко Сергей, (5) - (0), Ревзин Игорь, (1035.809 -10.829)
(1017.755 -8.251), Кириченко Сергей, (0) - (5), Фомичев Артем, (1079.169 +8.251)
(1009.504 +7.740), Кириченко Сергей, (5) - (0), Поталицын Михаил, (929.596 -7.740)
2017-10-28_MOS_National,,,,
(1017.244 +8.661), Кириченко Сергей, (5) - (0), Смирнов Антон, (970.427 -8.661)
(1025.904 +10.064), Кириченко Сергей, (5) - (0), Фомичев Артем, (1028.142 -10.064)
(1035.969 +11.943), Кириченко Сергей, (5) - (0), Борц Ларик, (1104.347 -11.943)
(1047.912 -9.916), Кириченко Сергей, (0) - (5), Матвеев Михаил, (1050.827 +9.916)
(1037.996 +7.709), Кириченко Сергей, (5) - (0), Стахмич Николай, (956.958 -7.709)
(1045.705 +8.849), Кириченко Сергей, (5) - (0), Лазарев Максим, (1005.536 -8.849)
(1054.554 -9.046), Кириченко Сергей, (0) - (5), Зернов Дмитрий, (1087.802 +9.046)
(1045.508 -9.429), Кириченко Сергей, (0) - (5), Матвеев Михаил, (1065.359 +9.429)
