(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-11-12_MOS_Trident,,,,
(1000.000 -10.000), Лазарев Максим, (0) - (5), Пугачев Никита, (1000.000 +10.000)
(990.000 -10.000), Лазарев Максим, (0) - (5), Каракасиян Вания, (990.000 +10.000)
(980.000 +10.017), Лазарев Максим, (5) - (0), Стахмич Николай, (980.575 -10.017)
(990.017 +10.000), Лазарев Максим, (5) - (0), Токун Дмитрий, (990.000 -10.000)
(1000.016 +9.983), Лазарев Максим, (5) - (0), Борц Ларик, (999.425 -9.983)
2016-12-17,,,,
(1009.999 +10.558), Лазарев Максим, (5) - (0), Нелипович Виктор, (1029.409 -10.558)
(1020.557 +10.007), Лазарев Максим, (5) - (0), Самигулин Максум, (1020.813 -10.007)
(1030.565 +10.279), Лазарев Максим, (5) - (0), Смирнов Антон, (1040.246 -10.279)
(1040.843 +10.232), Лазарев Максим, (5) - (0), Зубко Дмитрий, (1048.905 -10.232)
(1051.075 -10.982), Лазарев Максим, (0) - (5), Борц Ларик, (1016.855 +10.982)
