(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-12-17,,,,
(1000.000 +10.000), Ложкин Александр, (5) - (0), Хохлов Тимофей, (1000.000 -10.000)
(1010.000 +9.983), Ложкин Александр, (5) - (0), Афанасьев Сергей, (1009.425 -9.983)
(1019.983 -9.440), Ложкин Александр, (0) - (5), Зубко Дмитрий, (1039.465 +9.440)
(1010.544 -9.442), Ложкин Александр, (0) - (5), Смирнов Антон, (1029.967 +9.442)
(1001.102 -8.180), Ложкин Александр, (0) - (4), Бакаев Павел, (993.287 +8.180)
2017-01-22,,,,
(992.922 +10.127), Ложкин Александр, (5) - (0), Рачинский Олег, (997.351 -10.127)
(1003.050 -9.804), Ложкин Александр, (0) - (5), Парфиевич Дмитрий, (1009.874 +9.804)
(993.246 -9.071), Ложкин Александр, (0) - (5), Борц Ларик, (1025.610 +9.071)
(984.175 +7.048), Ложкин Александр, (4) - (0), Хохлов Тимофей, (942.622 -7.048)
(991.223 -11.318), Ложкин Александр, (0) - (5), Яковлев Артем, (945.146 +11.318)
