(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-11-20_SPB_Trident,,,,
(1000.000 +10.000), Мартынов Родион, (5) - (0), Кириченко Сергей, (1000.000 -10.000)
(1010.000 -10.000), Мартынов Родион, (0) - (5), Фомичев Артем, (1010.000 +10.000)
(1000.000 +10.000), Мартынов Родион, (5) - (0), Матвеев Михаил, (1000.000 -10.000)
(1010.000 +10.518), Мартынов Родион, (5) - (0), Ревзин Игорь, (1028.013 -10.518)
2017-05-21_SPB,,,,
(1020.518 +11.582), Мартынов Родион, (5) - (0), Фомичев Артем, (1075.941 -11.582)
(1032.100 -9.894), Мартынов Родион, (0) - (5), Ревзин Игорь, (1035.776 +9.894)
(1022.206 +8.437), Мартынов Родион, (5) - (0), Поталицын Михаил, (967.451 -8.437)
(1030.643 -10.510), Мартынов Родион, (0) - (5), Ветошкин Митя, (1012.917 +10.510)
