(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-11-20_SPB_Trident,,,,
(1000.000 -10.000), Матвеев Михаил, (0) - (5), Ревзин Игорь, (1000.000 +10.000)
(990.000 +10.000), Матвеев Михаил, (5) - (0), Ветошкин Митя, (990.000 -10.000)
(1000.000 -10.000), Матвеев Михаил, (0) - (5), Мартынов Родион, (1000.000 +10.000)
(990.000 +9.479), Матвеев Михаил, (5) - (0), Ильичев Павел, (971.887 -9.479)
2016-12-10_SPB,,,,
(999.479 -9.155), Матвеев Михаил, (0) - (5), Пугачев Никита, (1028.898 +9.155)
(990.324 +8.377), Матвеев Михаил, (4) - (0), Ревзин Игорь, (1006.689 -8.377)
(998.700 +9.999), Матвеев Михаил, (5) - (0), Селин Олег, (998.680 -9.999)
(1008.700 -10.000), Матвеев Михаил, (0) - (5), Фомичев Артем, (1008.688 +10.000)
(998.699 +8.975), Матвеев Михаил, (5) - (0), Поталицын Михаил, (962.966 -8.975)
2017-05-21_SPB,,,,
(1007.675 +7.579), Матвеев Михаил, (5) - (0), Поталицын Михаил, (921.856 -7.579)
(1015.254 +9.988), Матвеев Михаил, (5) - (0), Ветошкин Митя, (1014.853 -9.988)
(1025.242 -9.443), Матвеев Михаил, (0) - (5), Ревзин Игорь, (1044.616 +9.443)
(1015.799 +10.666), Матвеев Михаил, (5) - (0), Фомичев Артем, (1038.956 -10.666)
2017-10-28_MOS_National,,,,
(1026.465 +7.355), Матвеев Михаил, (5) - (0), Стахмич Николай, (932.335 -7.355)
(1033.820 +9.866), Матвеев Михаил, (5) - (0), Токун Дмитрий, (1029.147 -9.866)
(1043.685 +7.142), Матвеев Михаил, (5) - (0), Ложкин Александр, (941.533 -7.142)
(1050.827 +9.916), Матвеев Михаил, (5) - (0), Кириченко Сергей, (1047.912 -9.916)
(1060.743 +8.619), Матвеев Михаил, (4) - (0), Зернов Дмитрий, (1087.688 -8.619)
(1069.362 +6.674), Матвеев Михаил, (5) - (0), Стахмич Николай, (949.249 -6.674)
(1076.037 -10.677), Матвеев Михаил, (0) - (5), Дрожалин Максим, (1052.471 +10.677)
(1065.359 +9.429), Матвеев Михаил, (5) - (0), Кириченко Сергей, (1045.508 -9.429)
