(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-11-12_MOS_Trident,,,,
(1000.000 +10.000), Парфиевич Дмитрий, (5) - (0), Каракасиян Вания, (1000.000 -10.000)
(1010.000 +10.000), Парфиевич Дмитрий, (5) - (0), Борц Ларик, (1010.000 -10.000)
(1020.000 -10.000), Парфиевич Дмитрий, (0) - (5), Нелипович Виктор, (1020.000 +10.000)
(1010.000 -10.000), Парфиевич Дмитрий, (0) - (5), Овсянников Евгений, (1009.983 +10.000)
(1000.000 -9.441), Парфиевич Дмитрий, (0) - (5), Пугачев Никита, (1019.458 +9.441)
2016-12-17,,,,
(990.559 -9.173), Парфиевич Дмитрий, (0) - (5), Зубко Дмитрий, (1019.347 +9.173)
(981.386 -10.311), Парфиевич Дмитрий, (0) - (5), Каракасиян Вания, (970.575 +10.311)
(971.075 +10.798), Парфиевич Дмитрий, (5) - (0), Рачинский Олег, (998.852 -10.798)
(981.872 +9.661), Парфиевич Дмитрий, (5) - (0), Хохлов Тимофей, (970.098 -9.661)
(991.534 +9.504), Парфиевич Дмитрий, (5) - (0), Стахмич Николай, (974.277 -9.504)
