(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-11-20_SPB_Trident,,,,
(1000.000 +8.000), Поталицин Михаил, (4) - (0), Ильичев Павел, (1000.000 -8.000)
(1008.000 -7.954), Поталицин Михаил, (0) - (4), Ревзин Игорь, (1010.000 +7.954)
(1000.046 -8.000), Поталицин Михаил, (0) - (4), Кириченко Сергей, (1000.058 +8.000)
(992.046 -8.046), Поталицин Михаил, (0) - (4), Ветошкин Дмитрий, (990.056 +8.046)
2016-12-10_SPB,,,,
(984.000 +8.368), Поталицин Михаил, (4) - (0), Селин Олег, (1000.000 -8.368)
(992.369 -8.693), Поталицин Михаил, (0) - (5), Пугачев Никита, (1038.053 +8.693)
(983.676 -11.164), Поталицин Михаил, (0) - (5), Яковлев Артем, (943.037 +11.164)
(972.512 -9.545), Поталицин Михаил, (0) - (5), Ревзин Игорь, (988.324 +9.545)
(962.966 -8.975), Поталицин Михаил, (0) - (5), Матвеев Михаил, (998.699 +8.975)
