(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-11-20_SPB_Trident,,,,
(1000.000 +8.000), Поталицын Михаил, (4) - (0), Ильичев Павел, (1000.000 -8.000)
(1008.000 -7.954), Поталицын Михаил, (0) - (4), Ревзин Игорь, (1010.000 +7.954)
(1000.046 -8.000), Поталицын Михаил, (0) - (4), Кириченко Сергей, (1000.058 +8.000)
(992.046 -8.046), Поталицын Михаил, (0) - (4), Ветошкин Митя, (990.056 +8.046)
2016-12-10_SPB,,,,
(984.000 +8.368), Поталицын Михаил, (4) - (0), Селин Олег, (1000.000 -8.368)
(992.369 -8.693), Поталицын Михаил, (0) - (5), Пугачев Никита, (1038.053 +8.693)
(983.676 -11.164), Поталицын Михаил, (0) - (5), Яковлев Артем, (943.037 +11.164)
(972.512 -9.545), Поталицын Михаил, (0) - (5), Ревзин Игорь, (988.324 +9.545)
(962.966 -8.975), Поталицын Михаил, (0) - (5), Матвеев Михаил, (998.699 +8.975)
2017-03-12_SPB,,,,
(953.991 -7.904), Поталицын Михаил, (0) - (5), Ревзин Игорь, (1027.905 +7.904)
(946.087 -8.579), Поталицын Михаил, (0) - (5), Ветошкин Митя, (995.779 +8.579)
(937.508 -7.912), Поталицын Михаил, (0) - (4), Ильичев Павел, (941.328 +7.912)
(929.596 -7.740), Поталицын Михаил, (0) - (5), Кириченко Сергей, (1009.504 +7.740)
2017-05-21_SPB,,,,
(921.856 -7.579), Поталицын Михаил, (0) - (5), Матвеев Михаил, (1007.675 +7.579)
(914.277 +14.069), Поталицын Михаил, (5) - (0), Фомичев Артем, (1064.324 -14.069)
(928.346 -7.363), Поталицын Михаил, (0) - (5), Мартынов Родион, (1022.173 +7.363)
(920.983 -5.077), Поталицын Михаил, (0) - (4), Ревзин Игорь, (1054.059 +5.077)
2017-09-18_SPB,,,,
(915.905 +9.899), Поталицын Михаил, (4) - (0), Сергеев Роман, (1000.000 -9.899)
(925.805 +13.569), Поталицын Михаил, (5) - (0), Фомичев Артем, (1055.507 -13.569)
(939.374 -5.024), Поталицын Михаил, (0) - (4), Ревзин Игорь, (1075.151 +5.024)
(934.350 +11.659), Поталицын Михаил, (5) - (0), Ветошкин Митя, (992.518 -11.659)
