(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-12-17,,,,
(1000.000 -8.487), Рачинский Олег, (0) - (5), Пугачев Никита, (1052.972 +8.487)
(991.513 +7.339), Рачинский Олег, (4) - (0), Стахмич Николай, (962.759 -7.339)
(998.852 -10.798), Рачинский Олег, (0) - (5), Парфиевич Дмитрий, (971.075 +10.798)
(988.055 +9.297), Рачинский Олег, (5) - (0), Каракасиян Вания, (963.579 -9.297)
2017-01-22,,,,
(997.351 -10.127), Рачинский Олег, (0) - (5), Ложкин Александр, (992.922 +10.127)
(987.224 +8.978), Рачинский Олег, (5) - (0), Хохлов Тимофей, (951.601 -8.978)
(996.202 +9.786), Рачинский Олег, (5) - (0), Афанасьев Сергей, (988.773 -9.786)
(1005.988 -11.051), Рачинский Олег, (0) - (5), Каракасиян Вания, (969.332 +11.051)
(994.937 -9.309), Рачинский Олег, (0) - (5), Овсянников Евгений, (1018.970 +9.309)
2017-02-04,,,,
(985.628 -9.377), Рачинский Олег, (0) - (5), Ревзин Игорь, (1007.289 +9.377)
(976.250 -8.813), Рачинский Олег, (0) - (5), Парфиевич Дмитрий, (1017.697 +8.813)
(967.438 +10.385), Рачинский Олег, (5) - (0), Смирнов Антон, (980.812 -10.385)
(977.822 +10.452), Рачинский Олег, (5) - (0), Бакаев Павел, (993.546 -10.452)
(988.275 -11.057), Рачинский Олег, (0) - (5), Яковлев Артем, (951.407 +11.057)
(977.217 +10.435), Рачинский Олег, (5) - (0), Александров Олег, (992.351 -10.435)
(987.653 +9.917), Рачинский Олег, (5) - (0), Ложкин Александр, (984.786 -9.917)
(997.570 +10.933), Рачинский Олег, (5) - (0), Гирник Илья, (1030.083 -10.933)
2017-03-04,,,,
(1008.503 -11.486), Рачинский Олег, (0) - (5), Хохлов Тимофей, (956.482 +11.486)
(997.017 -11.604), Рачинский Олег, (0) - (5), Стахмич Николай, (940.793 +11.604)
(985.413 -11.302), Рачинский Олег, (0) - (5), Яковлев Артем, (939.923 +11.302)
(974.111 +10.521), Рачинский Олег, (5) - (0), Афанасьев Сергей, (992.243 -10.521)
2017-06-25,,,,
(984.632 +10.638), Рачинский Олег, (5) - (0), Александрова Елизавета, (1006.827 -10.638)
(995.270 +8.795), Рачинский Олег, (5) - (0), Афанасьев Сергей, (953.207 -8.795)
(1004.066 -11.346), Рачинский Олег, (0) - (5), Стахмич Николай, (957.023 +11.346)
(992.720 +12.642), Рачинский Олег, (5) - (0), Ревзин Игорь, (1086.748 -12.642)
(1005.362 +11.215), Рачинский Олег, (5) - (0), Ветошкин Митя, (1047.790 -11.215)
(1016.577 +8.240), Рачинский Олег, (5) - (0), Стахмич Николай, (954.787 -8.240)
(1024.817 -7.741), Рачинский Олег, (0) - (5), Борц Ларик, (1104.668 +7.741)
2017-08-06,,,,
(1017.076 +6.531), Рачинский Олег, (4) - (0), Александрова Елизавета, (952.552 -6.531)
(1023.607 -11.627), Рачинский Олег, (0) - (5), Парфиевич Дмитрий, (966.556 +11.627)
(1011.979 -8.454), Рачинский Олег, (0) - (5), Зубко Дмитрий, (1066.125 +8.454)
(1003.525 -12.384), Рачинский Олег, (0) - (5), Стахмич Николай, (919.068 +12.384)
(991.141 -6.669), Рачинский Олег, (0) - (5), Борц Ларик, (1111.443 +6.669)
2017-09-09,,,,
(984.472 +11.987), Рачинский Олег, (5) - (0), Пугачев Никита, (1054.442 -11.987)
(996.459 +10.390), Рачинский Олег, (5) - (0), Дрожалин Максим, (1010.008 -10.390)
(1006.849 -7.901), Рачинский Олег, (0) - (5), Александров Олег, (1080.864 +7.901)
(998.947 -9.953), Рачинский Олег, (0) - (5), Лазарев Максим, (1000.589 +9.953)
(988.995 -8.525), Рачинский Олег, (0) - (5), Зернов Дмитрий, (1040.608 +8.525)
2017-10-28_MOS_National,,,,
(980.469 -8.049), Рачинский Олег, (0) - (5), Зернов Дмитрий, (1049.133 +8.049)
(972.420 -7.526), Рачинский Олег, (0) - (5), Зубко Дмитрий, (1060.191 +7.526)
(964.894 -10.408), Рачинский Олег, (0) - (5), Смирнов Антон, (950.711 +10.408)
(954.486 +8.631), Рачинский Олег, (5) - (0), Александрова Елизавета, (906.625 -8.631)
(963.117 -8.469), Рачинский Олег, (0) - (5), Фомичев Артем, (1016.720 +8.469)
(954.648 +10.678), Рачинский Олег, (5) - (0), Ветошкин Митя, (978.228 -10.678)
(965.326 +12.452), Рачинский Олег, (5) - (0), Пугачев Никита, (1052.283 -12.452)
(977.777 -9.071), Рачинский Олег, (0) - (5), Токун Дмитрий, (1010.149 +9.071)
