(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-11-12_MOS_Trident,,,,
(1000.000 +10.000), Смирнов Антон, (5) - (0), Стахмич Николай, (1000.000 -10.000)
(1010.000 -10.000), Смирнов Антон, (0) - (5), Овсянников Евгений, (1010.000 +10.000)
(1000.000 +10.000), Смирнов Антон, (5) - (0), Самигулин Максум, (1000.000 -10.000)
(1010.000 +10.000), Смирнов Антон, (5) - (0), Иванов Владимир, (1010.000 -10.000)
(1020.000 +10.575), Смирнов Антон, (5) - (0), Нелипович Виктор, (1039.984 -10.575)
2016-12-17,,,,
(1030.575 +9.671), Смирнов Антон, (5) - (0), Овсянников Евгений, (1019.155 -9.671)
(1040.246 -10.279), Смирнов Антон, (0) - (5), Лазарев Максим, (1030.565 +10.279)
(1029.967 +9.442), Смирнов Антон, (5) - (0), Ложкин Александр, (1010.544 -9.442)
(1039.409 -9.187), Смирнов Антон, (0) - (5), Пугачев Никита, (1067.722 +9.187)
2017-01-22,,,,
(1030.222 -9.489), Смирнов Антон, (0) - (4), Стахмич Николай, (964.774 +9.489)
(1020.733 -11.136), Смирнов Антон, (0) - (5), Токун Дмитрий, (981.099 +11.136)
(1009.597 -8.736), Смирнов Антон, (0) - (5), Пугачев Никита, (1053.741 +8.736)
2017-02-04,,,,
(1000.861 -10.025), Смирнов Антон, (0) - (5), Гирник Илья, (1000.000 +10.025)
(990.836 -10.024), Смирнов Антон, (0) - (5), Ветошкин Митя, (989.996 +10.024)
(980.812 -10.385), Смирнов Антон, (0) - (5), Рачинский Олег, (967.438 +10.385)
2017-10-28_MOS_National,,,,
(970.427 -8.661), Смирнов Антон, (0) - (5), Кириченко Сергей, (1017.244 +8.661)
(961.766 -11.055), Смирнов Антон, (0) - (5), Стахмич Николай, (924.980 +11.055)
(950.711 +10.408), Смирнов Антон, (5) - (0), Рачинский Олег, (964.894 -10.408)
(961.119 -5.821), Смирнов Антон, (0) - (4), Зубко Дмитрий, (1058.198 +5.821)
(955.298 +8.365), Смирнов Антон, (5) - (0), Александрова Елизавета, (897.994 -8.365)
