(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-11-12_MOS_Trident,,,,
(1000.000 +10.000), Токун Дмитрий, (5) - (0), Самигулин Максум, (1000.000 -10.000)
(1010.000 -10.000), Токун Дмитрий, (0) - (5), Нелипович Виктор, (1010.000 +10.000)
(1000.000 -10.000), Токун Дмитрий, (0) - (5), Иванов Владимир, (1000.000 +10.000)
(990.000 -10.000), Токун Дмитрий, (0) - (5), Лазарев Максим, (990.017 +10.000)
(980.000 +10.016), Токун Дмитрий, (5) - (0), Стахмич Николай, (980.542 -10.016)
2017-01-22,,,,
(990.016 -8.917), Токун Дмитрий, (0) - (5), Зубко Дмитрий, (1027.802 +8.917)
(981.099 +11.136), Токун Дмитрий, (5) - (0), Смирнов Антон, (1020.733 -11.136)
(992.235 -9.103), Токун Дмитрий, (0) - (5), Самигулин Максум, (1023.491 +9.103)
