(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-12-17,,,,
(1000.000 -9.729), Шурыгин Егор, (0) - (5), Овсянников Евгений, (1009.426 +9.729)
(990.271 -8.283), Шурыгин Егор, (0) - (5), Пугачев Никита, (1050.514 +8.283)
(981.988 +10.212), Шурыгин Егор, (5) - (0), Афанасьев Сергей, (989.355 -10.212)
(992.200 -9.420), Шурыгин Егор, (0) - (5), Самигулин Максум, (1012.376 +9.420)
2017-02-04,,,,
(982.780 -7.993), Шурыгин Егор, (0) - (5), Зубко Дмитрий, (1053.469 +7.993)
(974.787 -7.685), Шурыгин Егор, (0) - (4), Кулаев Лев, (988.475 +7.685)
(967.102 +11.718), Шурыгин Егор, (5) - (0), Лазарев Максим, (1027.389 -11.718)
(978.820 +10.104), Шурыгин Егор, (5) - (0), Ложкин Александр, (982.432 -10.104)
