(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-06-25_MOS_Regional,,,,
(1000.000 +5.000), Афанасьев Сергей, (5) - (0), Нелипович Виктор, (1000.000 -5.000)
(1005.000 -4.821), Афанасьев Сергей, (0) - (5), Ревзин Игорь, (1017.468 +4.821)
(1000.179 -5.126), Афанасьев Сергей, (0) - (5), Гаврилов Андрей, (991.446 +5.126)
(995.054 -5.042), Афанасьев Сергей, (0) - (5), Пугачев Никита, (992.142 +5.042)
(990.012 +4.578), Афанасьев Сергей, (5) - (0), Ильичев Павел, (960.590 -4.578)
(994.589 +5.108), Афанасьев Сергей, (5) - (0), Пугачев Никита, (1002.088 -5.108)
(999.697 -5.126), Афанасьев Сергей, (0) - (5), Кулаев Лев, (990.940 +5.126)
(994.571 -3.434), Афанасьев Сергей, (1) - (4), Хохлов Тимофей, (964.371 +3.434)
2016-08-06_MOS_Team,,,,
(991.138 +5.777), Афанасьев Сергей, (5) - (0), Овешников Андрей, (1045.540 -5.777)
(996.914 -5.136), Афанасьев Сергей, (0) - (5), Шурыгин Егор, (987.484 +5.136)
(991.779 -5.028), Афанасьев Сергей, (0) - (5), Токун Дмитрий, (989.831 +5.028)
(986.751 -4.857), Афанасьев Сергей, (0) - (5), Смирнов Антон, (996.656 +4.857)
2016-09-17,,,,
(981.893 -4.740), Афанасьев Сергей, (0) - (5), Сучков Николай, (1000.000 +4.740)
(977.153 -3.985), Афанасьев Сергей, (0) - (5), Овешников Андрей, (1048.704 +3.985)
(973.169 -5.444), Афанасьев Сергей, (0) - (5), Каракасиян Вания, (942.262 +5.444)
(967.725 +5.152), Афанасьев Сергей, (5) - (0), Бакаев Павел, (978.316 -5.152)
(972.878 -4.855), Афанасьев Сергей, (0) - (5), Лазарев Максим, (982.971 +4.855)
