(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-01-23,,,,
(1000.000 +10.000), Гаврилов Андрей, (5) - (0), Токун Дмитрий, (1000.000 -10.000)
(1010.000 -10.000), Гаврилов Андрей, (0) - (5), Журавлев Илья, (1010.000 +10.000)
(1000.000 -6.000), Гаврилов Андрей, (1) - (4), Колмаков Петр, (1000.000 +6.000)
(994.000 +10.173), Гаврилов Андрей, (5) - (0), Шурыгин Егор, (1000.003 -10.173)
(1004.173 +5.872), Гаврилов Андрей, (4) - (1), Каракасиян Вания, (999.729 -5.872)
2016-02-27,,,,
(1010.045 -10.580), Гаврилов Андрей, (0) - (5), Овсянников Евгений, (989.874 +10.580)
(999.465 +10.236), Гаврилов Андрей, (5) - (0), Борц Ларик, (1007.669 -10.236)
(1009.701 -10.737), Гаврилов Андрей, (0) - (5), Каракасиян Вания, (984.033 +10.737)
(998.964 -10.518), Гаврилов Андрей, (0) - (5), Щекотилов Андрей, (980.951 +10.518)
2016-03-19_spb,,,,
(988.446 +10.346), Гаврилов Андрей, (5) - (0), Артем Фомичев, (1000.464 -10.346)
(998.791 +10.897), Гаврилов Андрей, (5) - (0), Андрей Овешников, (1030.043 -10.897)
(1009.688 -10.233), Гаврилов Андрей, (0) - (5), Дмитрий Зубко, (1001.597 +10.233)
(999.456 -9.151), Гаврилов Андрей, (0) - (5), Илья Журавлев, (1029.031 +9.151)
(990.305 -9.092), Гаврилов Андрей, (0) - (5), Ларик Борц, (1021.957 +9.092)
2016-04-02_MOS_SC,,,,
(981.213 +10.415), Гаврилов Андрей, (5) - (0), Митя Ветошкин, (995.647 -10.415)
(991.629 -8.704), Гаврилов Андрей, (0) - (5), Илья Журавлев, (1036.904 +8.704)
(982.924 +10.772), Гаврилов Андрей, (5) - (0), Анатолий Мухин, (1009.812 -10.772)
(993.697 -10.017), Гаврилов Андрей, (0) - (5), Максим Лазарев, (993.097 +10.017)
(983.679 +10.986), Гаврилов Андрей, (5) - (0), Евгений Чердаков, (1018.035 -10.986)
2016-06-25_MOS_Regional,,,,
(994.665 -9.135), Гаврилов Андрей, (0) - (5), Ревзин Игорь, (1024.782 +9.135)
(985.530 +10.436), Гаврилов Андрей, (5) - (0), Афанасьев Сергей, (1000.687 -10.436)
(995.966 +10.408), Гаврилов Андрей, (5) - (0), Ветошкин Митя, (1010.133 -10.408)
(1006.373 -6.695), Гаврилов Андрей, (0) - (5), Борц Ларик, (1125.676 +6.695)
(999.678 -9.928), Гаврилов Андрей, (0) - (5), Токун Дмитрий, (1002.184 +9.928)
2016-08-06_MOS_Team,,,,
(989.750 +9.451), Гаврилов Андрей, (5) - (0), Нелипович Виктор, (970.667 -9.451)
(999.202 +9.921), Гаврилов Андрей, (5) - (0), Токун Дмитрий, (996.472 -9.921)
(1009.123 -13.081), Гаврилов Андрей, (0) - (5), Каракасиян Вания, (898.482 +13.081)
(996.042 -10.361), Гаврилов Андрей, (0) - (5), Лазарев Максим, (983.503 +10.361)
