(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-01-23,,,,
(1000.000 +5.000), Журавлев Илья, (5) - (0), Пугачев Никита, (1000.000 -5.000)
(1005.000 +5.000), Журавлев Илья, (5) - (0), Гаврилов Андрей, (1005.000 -5.000)
(1010.000 -5.000), Журавлев Илья, (0) - (5), Самигулин Максум, (1010.000 +5.000)
(1005.000 +4.999), Журавлев Илья, (5) - (0), Каракасиян Вания, (1004.929 -4.999)
(1009.999 +5.000), Журавлев Илья, (5) - (0), Овешников Андрей, (1009.999 -5.000)
2016-02-27,,,,
(1014.999 -3.213), Журавлев Илья, (1) - (4), Борц Ларик, (1000.212 +3.213)
(1011.786 +4.759), Журавлев Илья, (5) - (0), Щекотилов Андрей, (995.000 -4.759)
(1016.545 -5.022), Журавлев Илья, (0) - (5), Овешников Андрей, (1014.998 +5.022)
(1011.523 -5.236), Журавлев Илья, (0) - (5), Годелашвили Александр, (995.079 +5.236)
(1006.286 +4.834), Журавлев Илья, (5) - (0), Зубко Дмитрий, (994.768 -4.834)
2016-03-19_spb,,,,
(1011.120 -4.875), Журавлев Илья, (0) - (5), Сергей Кириченко, (1019.828 +4.875)
(1006.246 +4.561), Журавлев Илья, (5) - (0), Павел Ильичев, (975.645 -4.561)
(1010.807 +4.875), Журавлев Илья, (5) - (0), Игорь Ревзин, (1002.144 -4.875)
(1015.682 +4.772), Журавлев Илья, (5) - (0), Андрей Гаврилов, (999.833 -4.772)
(1020.454 -5.145), Журавлев Илья, (0) - (5), Никита Пугачев, (1010.358 +5.145)
