(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-02-27,,,,
(1000.000 +9.823), Ложкин Александр, (5) - (0), Каракасиян Вания, (993.856 -9.823)
(1009.823 -8.622), Ложкин Александр, (0) - (5), Самигулин Максум, (1058.004 +8.622)
(1001.201 +9.678), Ложкин Александр, (5) - (0), Смирнов Антон, (990.013 -9.678)
(1010.879 -10.254), Ложкин Александр, (0) - (5), Овсянников Евгений, (1002.044 +10.254)
(1000.625 -9.538), Ложкин Александр, (0) - (5), Борц Ларик, (1016.703 +9.538)
2016-09-17,,,,
(991.087 +9.827), Ложкин Александр, (5) - (0), Бакаев Павел, (985.070 -9.827)
(1000.914 -6.047), Ложкин Александр, (0) - (5), Самигулин Максум, (1146.146 +6.047)
(994.867 +9.955), Ложкин Александр, (5) - (0), Лазарев Максим, (993.288 -9.955)
(1004.821 -9.450), Ложкин Александр, (0) - (5), Смирнов Антон, (1023.950 +9.450)
(995.371 -9.280), Ложкин Александр, (0) - (5), Сучков Николай, (1020.440 +9.280)
2016-10-16_MOS_National,,,,
(986.092 +11.625), Ложкин Александр, (5) - (0), Илья Журавлев, (1043.064 -11.625)
(997.717 -9.203), Ложкин Александр, (0) - (5), Артем Фомичев, (1025.449 +9.203)
(988.513 -9.858), Ложкин Александр, (0) - (5), Яковлев Артем, (993.444 +9.858)
(978.655 +10.069), Ложкин Александр, (5) - (0), Хохлушина Наталья, (981.055 -10.069)
(988.724 +9.975), Ложкин Александр, (5) - (0), Андрей Гаврилов, (987.871 -9.975)
(998.700 +10.262), Ложкин Александр, (5) - (0), Дмитрий Токун, (1007.790 -10.262)
(1008.961 +12.783), Ложкин Александр, (5) - (0), Ларик Борц, (1108.284 -12.783)
(1021.745 -9.129), Ложкин Александр, (0) - (5), Евгений Овсянников, (1052.092 +9.129)
