(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-06-25_MOS_Regional,,,,
(1000.000 -5.000), Нелипович Виктор, (0) - (5), Афанасьев Сергей, (1000.000 +5.000)
(995.000 -3.103), Нелипович Виктор, (1) - (4), Кулаев Лев, (987.845 +3.103)
(991.897 -5.169), Нелипович Виктор, (0) - (5), Лазарев Максим, (980.178 +5.169)
(986.728 +4.783), Нелипович Виктор, (5) - (0), Каракасиян Вания, (971.647 -4.783)
(991.512 -5.431), Нелипович Виктор, (0) - (5), Хохлов Тимофей, (961.476 +5.431)
(986.080 -4.843), Нелипович Виктор, (0) - (5), Пугачев Никита, (996.980 +4.843)
(981.237 +4.664), Нелипович Виктор, (5) - (0), Каракасиян Вания, (957.846 -4.664)
2016-08-06_MOS_Team,,,,
(985.901 -4.903), Нелипович Виктор, (0) - (5), Гаврилов Андрей, (992.663 +4.903)
(980.998 +4.534), Нелипович Виктор, (5) - (0), Каракасиян Вания, (948.511 -4.534)
(985.532 +4.936), Нелипович Виктор, (5) - (0), Костинский Виктор, (981.075 -4.936)
(990.468 -4.855), Нелипович Виктор, (0) - (5), Пугачев Никита, (1000.578 +4.855)
2016-09-17,,,,
(985.613 -4.771), Нелипович Виктор, (0) - (5), Смирнов Антон, (1001.513 +4.771)
(980.842 -4.721), Нелипович Виктор, (0) - (5), Пугачев Никита, (1000.280 +4.721)
(976.122 +5.105), Нелипович Виктор, (5) - (0), Бакаев Павел, (983.421 -5.105)
(981.227 +5.163), Нелипович Виктор, (5) - (0), Шурыгин Егор, (992.534 -5.163)
(986.389 +5.195), Нелипович Виктор, (5) - (0), Стахмич Николай, (999.926 -5.195)
