(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-09-17,,,,
(1000.000 -6.516), Стахмич Николай, (0) - (5), Борц Ларик, (1126.338 +6.516)
(993.484 +7.580), Стахмич Николай, (4) - (0), Бакаев Павел, (975.243 -7.580)
(1001.064 +9.900), Стахмич Николай, (5) - (0), Шурыгин Егор, (997.583 -9.900)
(1010.964 -10.016), Стахмич Николай, (0) - (5), Сучков Николай, (1010.424 +10.016)
(1000.949 -10.783), Стахмич Николай, (0) - (5), Нелипович Виктор, (973.675 +10.783)
2016-10-16_MOS_National,,,,
(990.165 -9.717), Стахмич Николай, (0) - (5), Владимир Иванов, (1000.000 +9.717)
(980.448 +8.788), Стахмич Николай, (5) - (0), Дмитрий Парфиевич, (938.130 -8.788)
(989.236 -8.845), Стахмич Николай, (0) - (5), Николай Сучков, (1029.549 +8.845)
(980.391 +8.712), Стахмич Николай, (5) - (0), Павел Бакаев, (935.400 -8.712)
(989.104 +6.554), Стахмич Николай, (4) - (0), Вания Каракасиян, (925.594 -6.554)
