(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-01-23,,,,
(1000.000 -5.000), Токун Дмитрий, (0) - (5), Гаврилов Андрей, (1000.000 +5.000)
(995.000 -4.958), Токун Дмитрий, (0) - (5), Кулаев Лев, (997.885 +4.958)
(990.042 +4.999), Токун Дмитрий, (5) - (0), Парфиевич Дмитрий, (990.000 -4.999)
(995.041 -4.998), Токун Дмитрий, (0) - (5), Борц Ларик, (995.214 +4.998)
2016-04-30_MOS_Spring,,,,
(990.043 +5.091), Токун Дмитрий, (5) - (0), Лазарев Максим, (996.368 -5.091)
(995.134 -4.993), Токун Дмитрий, (0) - (5), Овсянников Евгений, (995.620 +4.993)
(990.141 -5.135), Токун Дмитрий, (0) - (5), Смирнов Антон, (980.737 +5.135)
(985.006 -4.261), Токун Дмитрий, (0) - (5), Овешников Андрей, (1036.747 +4.261)
(980.745 +5.097), Токун Дмитрий, (5) - (0), Шурыгин Егор, (987.453 -5.097)
2016-05-28_MOS_Spring,,,,
(985.842 -5.184), Токун Дмитрий, (0) - (5), Каракасиян Вания, (973.070 +5.184)
(980.658 +4.997), Токун Дмитрий, (5) - (0), Хохлов Тимофей, (980.470 -4.997)
(985.655 -4.571), Токун Дмитрий, (0) - (5), Овсянников Евгений, (1015.546 +4.571)
(981.084 -4.320), Токун Дмитрий, (0) - (5), Овешников Андрей, (1028.639 +4.320)
(976.765 +5.096), Токун Дмитрий, (5) - (0), Чердаков Евгений, (983.457 -5.096)
