(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-02-27,,,,
(1000.000 -8.587), Чердаков Евгений, (0) - (5), Самигулин Максум, (1049.417 +8.587)
(991.413 +10.526), Чердаков Евгений, (5) - (0), Зубко Дмитрий, (1009.695 -10.526)
(1001.939 +9.953), Чердаков Евгений, (5) - (0), Годелашвили Александр, (1000.296 -9.953)
(1011.891 -10.492), Чердаков Евгений, (0) - (5), Каракасиян Вания, (994.771 +10.492)
(1001.399 +9.714), Чердаков Евгений, (5) - (0), Щекотилов Андрей, (991.469 -9.714)
2016-04-02_MOS_SC,,,,
(1011.113 +9.608), Чердаков Евгений, (5) - (0), Вания Каракасиян, (997.492 -9.608)
(1020.721 +12.272), Чердаков Евгений, (5) - (0), Максум Самигулин, (1101.055 -12.272)
(1032.993 -9.537), Чердаков Евгений, (0) - (5), Ларик Борц, (1049.078 +9.537)
(1023.456 -5.420), Чердаков Евгений, (1) - (4), Игорь Ревзин, (1043.618 +5.420)
(1018.035 -10.986), Чердаков Евгений, (0) - (5), Андрей Гаврилов, (983.679 +10.986)
2016-04-30_MOS_Spring,,,,
(1007.050 -9.662), Чердаков Евгений, (0) - (5), Мухин Анатолий, (1018.803 +9.662)
(997.388 +9.841), Чердаков Евгений, (5) - (0), Шурыгин Егор, (991.856 -9.841)
(1007.229 +9.032), Чердаков Евгений, (5) - (0), Смирнов Антон, (973.506 -9.032)
(1016.261 -10.324), Чердаков Евгений, (0) - (5), Колмаков Петр, (1004.997 +10.324)
2016-05-28_MOS_Spring,,,,
(1005.937 -8.490), Чердаков Евгений, (0) - (5), Овешников Андрей, (1058.814 +8.490)
(997.447 -7.175), Чердаков Евгений, (0) - (5), Самигулин Максум, (1098.352 +7.175)
(990.273 -10.689), Чердаков Евгений, (0) - (5), Лазарев Максим, (966.307 +10.689)
(979.584 -11.050), Чердаков Евгений, (0) - (5), Хохлов Тимофей, (942.957 +11.050)
(968.534 -10.348), Чердаков Евгений, (0) - (5), Токун Дмитрий, (956.452 +10.348)
2016-08-06_MOS_Team,,,,
(958.186 -9.171), Чердаков Евгений, (0) - (5), Кулаев Лев, (987.042 +9.171)
(949.015 -5.289), Чердаков Евгений, (0) - (5), Борц Ларик, (1126.728 +5.289)
(943.726 -6.529), Чердаков Евгений, (0) - (5), Овешников Андрей, (1069.558 +6.529)
