, 2016-05-28_MOS_Spring, 2016-05-28_MOS_Spring, 2016-05-28_MOS_Spring, 2016-05-28_MOS_Spring, 2016-05-28_MOS_Spring, 2016-05-28_MOS_Spring, 2016-05-28_MOS_Spring
1, Самигулин Максум:1024.855, Самигулин Максум:1024.855, Самигулин Максум:1047.870, Самигулин Максум:1047.870, Самигулин Максум:1050.376, Самигулин Максум:1061.953, Самигулин Максум:1073.540
2, Журавлев Илья:1014.999, Кириченко Сергей:1019.828, Кириченко Сергей:1019.828, Овешников Андрей:1033.991, Овешников Андрей:1041.856, Борц Ларик:1053.389, Борц Ларик:1057.144
3, Зубко Дмитрий:1009.998, Журавлев Илья:1014.999, Борц Ларик:1013.087, Кириченко Сергей:1023.519, Борц Ларик:1041.085, Зубко Дмитрий:1035.437, Овешников Андрей:1037.147
4, Пугачев Никита:1005.075, Зубко Дмитрий:1009.998, Журавлев Илья:1011.120, Борц Ларик:1016.729, Зубко Дмитрий:1035.437, Овешников Андрей:1035.154, Зубко Дмитрий:1035.437
5, Гаврилов Андрей:1005.013, Пугачев Никита:1005.075, Овсянников Евгений:1010.737, Зубко Дмитрий:1016.106, Кириченко Сергей:1023.519, Журавлев Илья:1023.970, Мухин Анатолий:1028.028
6, Мухин Анатолий:1004.999, Гаврилов Андрей:1005.013, Овешников Андрей:1010.150, Журавлев Илья:1015.309, Ревзин Игорь:1020.387, Кириченко Сергей:1023.519, Журавлев Илья:1023.970
7, Овешников Андрей:1004.999, Мухин Анатолий:1004.999, Чердаков Евгений:1005.297, Ревзин Игорь:1006.900, Журавлев Илья:1019.300, Ревзин Игорь:1020.387, Кириченко Сергей:1023.519
8, Кулаев Лев:1002.804, Овешников Андрей:1004.999, Годелашвили Александр:1005.099, Пугачев Никита:1005.744, Мухин Анатолий:1009.666, Мухин Анатолий:1015.077, Овсянников Евгений:1020.865
9, Борц Ларик:1000.212, Кулаев Лев:1002.804, Пугачев Никита:1005.075, Овсянников Евгений:1005.566, Чердаков Евгений:1002.860, Овсянников Евгений:1007.239, Ревзин Игорь:1020.387
10, Шурыгин Егор:999.842, Ветошкин Митя:1002.115, Мухин Анатолий:1004.999, Чердаков Евгений:1005.297, Пугачев Никита:1001.174, Колмаков Петр:1006.941, Колмаков Петр:1006.941
11, Каракасиян Вания:996.961, Ревзин Игорь:1002.058, Кулаев Лев:1002.804, Годелашвили Александр:1005.099, Мартынов Родион:999.884, Чердаков Евгений:1002.594, Пугачев Никита:1001.174
12, Овсянников Евгений:994.970, Борц Ларик:1000.212, Ветошкин Митя:1002.115, Мухин Анатолий:1004.999, Шурыгин Егор:999.842, Пугачев Никита:1001.174, Махов Роман:1000.319
13, Колмаков Петр:993.027, Фомичев Артем:1000.116, Ревзин Игорь:1002.058, Кулаев Лев:1002.804, Ветошкин Митя:999.011, Мартынов Родион:999.884, Мартынов Родион:999.884
14, Лазарев Максим:990.072, Мартынов Родион:999.884, Фомичев Артем:1000.116, Мартынов Родион:999.884, Лазарев Максим:996.368, Ветошкин Митя:999.011, Ветошкин Митя:999.011
15, Токун Дмитрий:990.043, Шурыгин Егор:999.842, Мартынов Родион:999.884, Шурыгин Егор:999.842, Гаврилов Андрей:996.209, Гаврилов Андрей:996.209, Гаврилов Андрей:996.209
16, Лазарев Константин:982.058, Поталицын Михаил:999.829, Шурыгин Егор:999.842, Каракасиян Вания:997.899, Елизаров Антон:995.999, Елизаров Антон:995.999, Елизаров Антон:995.999
17, Парфиевич Дмитрий:980.073, Каракасиян Вания:996.961, Поталицын Михаил:999.829, Ветошкин Митя:997.444, Ложкин Александр:995.280, Ложкин Александр:995.280, Ложкин Александр:995.280
18, , Елизаров Антон:995.999, Каракасиян Вания:997.899, Елизаров Антон:995.999, Ганихин Дмитрий:994.857, Кулаев Лев:992.931, Кулаев Лев:992.931
19, , Овсянников Евгений:994.970, Елизаров Антон:995.999, Ложкин Александр:995.280, Каракасиян Вания:993.132, Бакаев Павел:992.277, Бакаев Павел:992.277
20, , Колмаков Петр:993.027, Ложкин Александр:995.280, Колмаков Петр:993.027, Колмаков Петр:993.027, Костинский Виктор:991.202, Костинский Виктор:991.202
21, , Лазарев Максим:990.072, Гаврилов Андрей:994.597, Гаврилов Андрей:990.304, Бакаев Павел:992.277, Ганихин Дмитрий:990.333, Ганихин Дмитрий:990.333
22, , Токун Дмитрий:990.043, Колмаков Петр:993.027, Лазарев Максим:990.072, Овсянников Евгений:990.583, Логинов Сергей:989.970, Логинов Сергей:989.970
23, , Лазарев Константин:982.058, Щекотилов Андрей:990.450, Токун Дмитрий:990.043, Токун Дмитрий:990.043, Смирнов Антон:986.971, Лазарев Максим:987.691
24, , Ильичев Павел:980.172, Лазарев Максим:990.072, Логинов Сергей:989.970, Логинов Сергей:989.970, Фомичев Артем:986.743, Смирнов Антон:986.971
25, , Парфиевич Дмитрий:980.073, Токун Дмитрий:990.043, Фомичев Артем:989.861, Годелашвили Александр:989.714, Лазарев Максим:986.139, Фомичев Артем:986.743
26, , , Зубко Дмитрий:989.933, Поталицын Михаил:985.227, Фомичев Артем:986.743, Токун Дмитрий:985.842, Поталицын Михаил:985.227
27, , , Лазарев Константин:982.058, Лазарев Константин:982.058, Хохлов Тимофей:985.549, Хохлов Тимофей:985.549, Годелашвили Александр:983.444
28, , , Смирнов Антон:980.486, Щекотилов Андрей:980.853, Кулаев Лев:985.410, Поталицын Михаил:985.227, Шурыгин Егор:982.357
29, , , Ильичев Павел:980.172, Смирнов Антон:980.486, Поталицын Михаил:985.227, Годелашвили Александр:983.444, Лазарев Константин:982.058
30, , , Парфиевич Дмитрий:980.073, Парфиевич Дмитрий:980.073, Лазарев Константин:982.058, Шурыгин Егор:982.357, Токун Дмитрий:981.861
31, , , , Ильичев Павел:971.743, Щекотилов Андрей:980.853, Лазарев Константин:982.058, Щекотилов Андрей:980.853
32, , , , , Смирнов Антон:980.486, Щекотилов Андрей:980.853, Чердаков Евгений:978.361
33, , , , , Парфиевич Дмитрий:980.073, Парфиевич Дмитрий:980.073, Парфиевич Дмитрий:976.060
34, , , , , Ильичев Павел:971.743, Каракасиян Вания:973.070, Каракасиян Вания:973.232
35, , , , , , Ильичев Павел:971.743, Хохлов Тимофей:971.832
36, , , , , , , Ильичев Павел:971.743
