(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-01-30,,,,
(1000.000 +1.550), Бутаков Никита, (2) - (2), Ковалев Александр, (1054.283 -1.550)
(1001.550 -3.056), Бутаков Никита, (1) - (3), Ярцев Александр, (1069.965 +3.056)
(998.494 -10.066), Бутаков Никита, (0) - (4), Годелашвили Александр, (996.215 +10.066)
2016-03-12,,,,
(988.428 +8.790), Бутаков Никита, (4) - (0), Жигарев Борис, (946.181 -8.790)
(997.218 -6.329), Бутаков Никита, (0) - (4), Рогозин Антон, (1130.995 +6.329)
(990.889 -9.761), Бутаков Никита, (0) - (4), Годелашвили Александр, (999.193 +9.761)
(981.128 -10.145), Бутаков Никита, (0) - (4), Галкин Дмитрий, (976.101 +10.145)
(970.983 +9.129), Бутаков Никита, (4) - (0), Колмаков Петр, (940.641 -9.129)
2016-04-02_spb,,,,
(980.112 +0.149), Бутаков Никита, (2) - (2), Овсяников Денис, (985.291 -0.149)
(980.261 -1.634), Бутаков Никита, (2) - (2), Жигарев Борис, (922.976 +1.634)
(978.627 -9.730), Бутаков Никита, (0) - (4), Елисеев Борис, (988.017 +9.730)
(968.897 -5.824), Бутаков Никита, (0) - (4), Рогозин Антон, (1123.412 +5.824)
2016-04-23,,,,
(963.073 -7.452), Бутаков Никита, (0) - (3), Галкин Дмитрий, (965.311 +7.452)
(955.621 -5.207), Бутаков Никита, (0) - (3), Ярцев Александр, (1065.347 +5.207)
(950.414 -8.127), Бутаков Никита, (0) - (4), Пинчук Сергей, (1016.273 +8.127)
(942.287 -6.767), Бутаков Никита, (0) - (4), Володин Антон, (1058.805 +6.767)
2016-06-18,,,,
(935.521 -8.668), Бутаков Никита, (0) - (4), Пинчук Алексей, (982.089 +8.668)
(926.853 -4.558), Бутаков Никита, (0) - (3), Пинчук Сергей, (1070.857 +4.558)
(922.295 +11.914), Бутаков Никита, (4) - (0), Галкин Дмитрий, (989.607 -11.914)
(934.209 +11.549), Бутаков Никита, (4) - (0), Курбанов Эмир, (988.473 -11.549)
(945.758 +3.976), Бутаков Никита, (2) - (2), Ярцев Александр, (1091.960 -3.976)
