(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2015-07-04,,,,
(1000.000 -10.015), Бушан Андрей, (0) - (4), Овешников Андрей, (999.483 +10.015)
(989.985 -0.161), Бушан Андрей, (2) - (2), Галкин Дмитрий, (984.391 +0.161)
(989.824 -1.037), Бушан Андрей, (2) - (2), Сахаров Илья, (953.673 +1.037)
(988.787 +8.960), Бушан Андрей, (4) - (0), Жигарев Борис, (952.521 -8.960)
2015-08-15,,,,
(997.747 -9.178), Бушан Андрей, (0) - (4), Ковалев Александр, (1026.380 +9.178)
(988.570 -0.050), Бушан Андрей, (2) - (2), Галкин Дмитрий, (986.837 +0.050)
(988.520 +0.836), Бушан Андрей, (2) - (2), Пинчук Сергей, (1017.646 -0.836)
(989.356 -0.056), Бушан Андрей, (2) - (2), Амирханов Артем, (987.421 +0.056)
2015-09-26,,,,
(989.300 +0.308), Бушан Андрей, (2) - (2), Смирнов Антон, (1000.000 -0.308)
(989.608 -5.788), Бушан Андрей, (0) - (4), Попов Егор, (1145.639 +5.788)
(983.820 -10.197), Бушан Андрей, (0) - (4), Амирханов Артем, (976.977 +10.197)
(973.623 -9.908), Бушан Андрей, (0) - (4), Годелашвили Александр, (976.816 +9.908)
2015-10-10_national,,,,
(963.715 -7.376), Бушан Андрей, (0) - (4), Ковалев Александр, (1057.080 +7.376)
(956.339 +0.647), Бушан Андрей, (2) - (2), Амирханов Артем, (978.835 -0.647)
(956.986 +0.619), Бушан Андрей, (2) - (2), Годелашвили Александр, (978.511 -0.619)
(957.604 -1.060), Бушан Андрей, (2) - (2), Шеляпин Антон, (920.649 +1.060)
(956.545 +0.424), Бушан Андрей, (2) - (2), Смирнов Антон, (971.290 -0.424)
