(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-08-30,,,,
(1000.000 -8.534), Зелянин Дмитрий, (0) - (4), Черноножкин Василий, (1051.321 +8.534)
(991.466 -6.530), Зелянин Дмитрий, (0) - (3), Лапыгин Антон, (1036.645 +6.530)
(984.936 -2.843), Зелянин Дмитрий, (1) - (2), Селина Анна, (969.022 +2.843)
(982.093 -0.079), Зелянин Дмитрий, (2) - (2), Шеляпин Антон, (979.341 +0.079)
2014-11-29_spb,,,,
(982.014 +2.684), Зелянин Дмитрий, (2) - (2), Лапыгин Антон, (1077.618 -2.684)
(984.698 +9.578), Зелянин Дмитрий, (4) - (0), Шеляпин Антон, (970.011 -9.578)
(994.276 -0.228), Зелянин Дмитрий, (2) - (2), Селина Анна, (986.353 +0.228)
(994.048 +11.812), Зелянин Дмитрий, (4) - (0), Привалов Денис, (1057.714 -11.812)
2015-02-07_spb,,,,
(1005.860 -2.552), Зелянин Дмитрий, (1) - (2), Ярцев Александр, (1003.462 +2.552)
(1003.308 +9.172), Зелянин Дмитрий, (4) - (0), Мягги Константин, (974.468 -9.172)
(1012.480 +0.293), Зелянин Дмитрий, (2) - (2), Селин Станислав, (1022.651 -0.293)
(1012.773 -0.994), Зелянин Дмитрий, (2) - (2), Жигарев Борис, (978.112 +0.994)
(1011.778 -8.876), Зелянин Дмитрий, (0) - (4), Привалов Денис, (1050.989 +8.876)
2015-10-10_national,,,,
(1002.902 -5.600), Зелянин Дмитрий, (0) - (3), Данюшевский Петр, (1092.893 +5.600)
(997.302 -2.232), Зелянин Дмитрий, (2) - (2), Шеляпин Антон, (918.416 +2.232)
(995.070 +1.320), Зелянин Дмитрий, (2) - (2), Сизякин Артем, (1041.212 -1.320)
(996.390 +10.303), Зелянин Дмитрий, (4) - (0), Шурыгин Егор, (1006.932 -10.303)
