(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2013-12-01,,,,
(1000.000 -0.588), Леньшин Егор, (2) - (2), Ларин Филипп, (979.536 +0.588)
(999.412 -9.986), Леньшин Егор, (0) - (4), Нащекин Алексей, (999.909 +9.986)
(989.426 -0.285), Леньшин Егор, (2) - (2), Антонов Евгений, (979.518 +0.285)
(989.141 +10.031), Леньшин Егор, (4) - (0), Бушмакин Евгений, (990.230 -10.031)
2014-02-16,,,,
(999.172 +10.087), Леньшин Егор, (4) - (0), Николаев Денис, (1002.182 -10.087)
(1009.259 -0.401), Леньшин Егор, (2) - (2), Пинчук Сергей, (995.311 +0.401)
(1008.858 +0.111), Леньшин Егор, (2) - (2), Воробьев Петя, (1012.727 -0.111)
(1008.969 +1.115), Леньшин Егор, (2) - (2), Борц Ларик, (1047.874 -1.115)
(1010.084 -10.036), Леньшин Егор, (0) - (4), Щербаков Григорий, (1008.846 +10.036)
2014-03-09,,,,
(1000.048 +0.894), Леньшин Егор, (2) - (2), Рогозин Антон, (1031.181 -0.894)
(1000.942 -0.005), Леньшин Егор, (2) - (2), Смирнов Виктор, (1000.777 +0.005)
(1000.937 +0.716), Леньшин Егор, (2) - (2), Зубко Дмитрий, (1025.873 -0.716)
(1001.654 +0.036), Леньшин Егор, (2) - (2), Сизякин Артем, (1002.906 -0.036)
(1001.690 -7.190), Леньшин Егор, (0) - (4), Попов Егор, (1102.014 +7.190)
2014-04-19_chronos_protocol,,,,
(994.500 -9.486), Леньшин Егор, (0) - (4), Дмитриев Павел, (1012.371 +9.486)
(985.014 -9.324), Леньшин Егор, (0) - (4), Сорокин Валентин, (1008.521 +9.324)
(975.689 +0.109), Леньшин Егор, (2) - (2), Ельшевский Антон, (979.470 -0.109)
(975.798 -0.999), Леньшин Егор, (2) - (2), Волков Кирилл, (940.968 +0.999)
(974.799 -1.370), Леньшин Егор, (2) - (2), Малич Антон, (926.915 +1.370)
