(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-05-10_spb,,,,
(1000.000 -8.901), Мягги Константин, (0) - (4), Привалов Денис, (1038.339 +8.901)
(991.099 -0.016), Мягги Константин, (2) - (2), Ковшиков Тимофей, (990.526 +0.016)
(991.083 -7.301), Мягги Константин, (0) - (3), Селин Станислав, (1000.291 +7.301)
(983.781 -4.952), Мягги Константин, (1) - (3), Никитин Сергей, (985.454 +4.952)
(978.829 -2.511), Мягги Константин, (0) - (1), Макаров Ян, (977.257 +2.511)
2015-02-07_spb,,,,
(976.318 -1.850), Мягги Константин, (1) - (2), Никитин Сергей, (1006.515 +1.850)
(974.468 -9.172), Мягги Константин, (0) - (4), Зелянин Дмитрий, (1003.308 +9.172)
(965.296 +0.984), Мягги Константин, (2) - (2), Елисеев Борис, (999.592 -0.984)
(966.280 +10.920), Мягги Константин, (4) - (0), Дмитриев Павел, (998.326 -10.920)
(977.200 +10.370), Мягги Константин, (4) - (0), Сергеев Иван, (990.045 -10.370)
