(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-08-30,,,,
(1000.000 -5.908), Овешников Андрей, (0) - (4), Попов Егор, (1151.010 +5.908)
(994.092 -9.164), Овешников Андрей, (0) - (4), Нащекин Алексей, (1023.210 +9.164)
(984.928 +10.146), Овешников Андрей, (4) - (0), Мухин Анатолий, (989.994 -10.146)
(995.074 -12.094), Овешников Андрей, (0) - (4), Пинчук Алексей, (921.244 +12.094)
2014-09-06_draft,,,,
(982.980 +0.417), Овешников Андрей, (2) - (2), Шурыгин Егор, (997.484 -0.417)
(983.397 +0.800), Овешников Андрей, (2) - (2), Ковалев Александр, (1011.258 -0.800)
(984.198 +2.623), Овешников Андрей, (2) - (2), Зубко Дмитрий, (1077.511 -2.623)
(986.821 +11.783), Овешников Андрей, (4) - (0), Пинчук Сергей, (1049.436 -11.783)
2014-10-04_national,,,,
(998.604 +0.598), Овешников Андрей, (2) - (2), Дмитриев Павел, (1019.393 -0.598)
(999.201 -1.591), Овешников Андрей, (2) - (2), Колмаков Петр, (943.439 +1.591)
(997.610 -8.393), Овешников Андрей, (0) - (4), Черноножкин Василий, (1053.943 +8.393)
(989.217 +11.012), Овешников Андрей, (4) - (0), Пинчук Сергей, (1024.499 -11.012)
(1000.229 -0.747), Овешников Андрей, (2) - (2), Селина Анна, (974.240 +0.747)
2015-07-04,,,,
(999.483 +10.015), Овешников Андрей, (4) - (0), Бушан Андрей, (1000.000 -10.015)
(1009.498 -10.002), Овешников Андрей, (0) - (4), Шурыгин Егор, (1009.445 +10.002)
(999.496 -9.428), Овешников Андрей, (0) - (4), Мухин Анатолий, (1019.408 +9.428)
(990.069 +8.986), Овешников Андрей, (4) - (0), Сахаров Илья, (954.710 -8.986)
(999.054 -5.823), Овешников Андрей, (0) - (4), Попов Егор, (1153.616 +5.823)
2015-10-10_national,,,,
(993.231 +8.822), Овешников Андрей, (4) - (0), Гаврилов Андрей, (952.119 -8.822)
(1002.053 -10.465), Овешников Андрей, (0) - (4), Иванов Максим, (985.889 +10.465)
(991.588 +3.577), Овешников Андрей, (2) - (2), Зубко Дмитрий, (1121.617 -3.577)
(995.165 +1.153), Овешников Андрей, (2) - (2), Нащекин Алексей, (1035.389 -1.153)
(996.318 -10.903), Овешников Андрей, (0) - (4), Смирнов Михаил, (964.862 +10.903)
2015-11-01,,,,
(985.415 -0.352), Овешников Андрей, (2) - (2), Годелашвили Александр, (973.194 +0.352)
(985.063 +2.585), Овешников Андрей, (2) - (2), Ковалев Александр, (1076.968 -2.585)
(987.649 -5.762), Овешников Андрей, (0) - (4), Рогозин Антон, (1144.801 +5.762)
(981.887 +0.176), Овешников Андрей, (2) - (2), Пинчук Алексей, (987.998 -0.176)
