(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-04-19_chronos_protocol,,,,
(1000.000 +0.953), Полевиков Александр, (2) - (2), Зубко Дмитрий, (1033.207 -0.953)
(1000.953 -9.629), Полевиков Александр, (0) - (4), Привалов Денис, (1013.836 +9.629)
(991.324 -1.547), Полевиков Александр, (2) - (2), Пинчук Сергей, (937.154 +1.547)
(989.777 +9.072), Полевиков Александр, (4) - (0), Гончаренко Сергей, (957.458 -9.072)
(998.849 -9.845), Полевиков Александр, (0) - (4), Елисеев Борис, (1004.233 +9.845)
(989.004 +5.324), Полевиков Александр, (2) - (0), Дмитриев Павел, (1011.528 -5.324)
(994.328 -4.810), Полевиков Александр, (0) - (2), Смирнов Виктор, (1007.526 +4.810)
(989.518 -4.904), Полевиков Александр, (0) - (2), Смирнов Михаил, (996.172 +4.904)
2014-07-05_msk_regional,,,,
(984.614 -9.656), Полевиков Александр, (0) - (4), Смирнов Михаил, (996.586 +9.656)
(974.958 +0.021), Полевиков Александр, (2) - (2), Ярцев Александр, (975.678 -0.021)
(974.979 +10.720), Полевиков Александр, (4) - (0), Смирнов Виктор, (1000.043 -10.720)
(985.699 -9.851), Полевиков Александр, (0) - (4), Пинчук Сергей, (990.885 +9.851)
(975.848 -9.812), Полевиков Александр, (0) - (4), Шурыгин Егор, (982.378 +9.812)
(966.036 +9.662), Полевиков Александр, (4) - (0), Пинчук Алексей, (954.294 -9.662)
(975.698 +11.361), Полевиков Александр, (4) - (0), Щербаков Григорий, (1023.263 -11.361)
2014-10-04_national,,,,
(987.059 +0.902), Полевиков Александр, (2) - (2), Селин Станислав, (1018.486 -0.902)
(987.961 +0.118), Полевиков Александр, (2) - (2), Шурыгин Егор, (992.067 -0.118)
(988.079 +0.585), Полевиков Александр, (2) - (2), Володин Антон, (1008.411 -0.585)
(988.664 +0.061), Полевиков Александр, (2) - (2), Мухин Анатолий, (990.785 -0.061)
(988.725 +1.508), Полевиков Александр, (2) - (2), Борц Ларик, (1041.533 -1.508)
