(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-02-22_spb_city_champs,,,,
(1000.000 +10.000), Привалов Денис, (4) - (0), Куклин Андрей, (1000.000 -10.000)
(1010.000 -0.000), Привалов Денис, (2) - (2), Елисеев Борис, (1010.000 0.000)
(1010.000 -8.927), Привалов Денис, (0) - (4), Борц Ларик, (1047.437 +8.927)
(1001.073 +9.969), Привалов Денис, (4) - (0), Володин Антон, (999.999 -9.969)
2014-04-19_chronos_protocol,,,,
(1011.042 +2.794), Привалов Денис, (2) - (2), Попов Егор, (1110.763 -2.794)
(1013.836 +9.629), Привалов Денис, (4) - (0), Полевиков Александр, (1000.953 -9.629)
(1023.466 -10.924), Привалов Денис, (0) - (4), Ярцев Александр, (991.262 +10.924)
(1012.541 -2.094), Привалов Денис, (2) - (2), Пинчук Сергей, (938.700 +2.094)
(1010.448 +8.818), Привалов Денис, (4) - (0), Николаев Денис, (969.197 -8.818)
(1019.266 +4.925), Привалов Денис, (2) - (0), Елисеев Борис, (1014.079 -4.925)
(1024.191 +4.079), Привалов Денис, (2) - (0), Пинчук Сергей, (959.427 -4.079)
(1028.270 +5.209), Привалов Денис, (2) - (0), Щербаков Григорий, (1042.801 -5.209)
(1033.479 +4.860), Привалов Денис, (2) - (0), Елисеев Борис, (1023.758 -4.860)
2014-05-10_spb,,,,
(1038.339 +8.901), Привалов Денис, (4) - (0), Мягги Константин, (1000.000 -8.901)
(1047.240 -1.084), Привалов Денис, (2) - (2), Селина Анна, (1009.444 +1.084)
(1046.156 +8.286), Привалов Денис, (4) - (0), Леонов Антон, (986.001 -8.286)
(1054.442 -8.568), Привалов Денис, (0) - (4), Борц Ларик, (1104.523 +8.568)
2014-07-28_spb,,,,
(1045.874 +8.504), Привалов Денис, (4) - (0), Селина Анна, (993.502 -8.504)
(1054.377 -10.998), Привалов Денис, (0) - (4), Дмитриев Павел, (1019.602 +10.998)
(1043.380 -1.396), Привалов Денис, (2) - (2), Селин Станислав, (994.555 +1.396)
(1041.984 +8.864), Привалов Денис, (4) - (0), Никитин Сергей, (1002.353 -8.864)
2014-11-29_spb,,,,
(1050.848 -10.038), Привалов Денис, (0) - (4), Ермолаев Алексей, (1049.514 +10.038)
(1040.810 +8.528), Привалов Денис, (4) - (0), Степанович Сергей, (989.281 -8.528)
(1049.337 +8.377), Привалов Денис, (4) - (0), Иванов Максим, (992.436 -8.377)
(1057.714 -11.812), Привалов Денис, (0) - (4), Зелянин Дмитрий, (994.048 +11.812)
2015-01-10_spb,,,,
(1045.902 -9.388), Привалов Денис, (0) - (4), Черноножкин Василий, (1067.179 +9.388)
(1036.513 +8.540), Привалов Денис, (4) - (0), Тихомиров Андрей, (985.428 -8.540)
(1045.054 -10.159), Привалов Денис, (0) - (4), Володин Антон, (1039.514 +10.159)
(1034.894 +7.646), Привалов Денис, (4) - (0), Степанович Сергей, (951.527 -7.646)
2015-02-07_spb,,,,
(1042.540 +0.234), Привалов Денис, (2) - (2), Володин Антон, (1050.668 -0.234)
(1042.774 +1.254), Привалов Денис, (2) - (2), Лапыгин Антон, (1086.583 -1.254)
(1044.028 -1.672), Привалов Денис, (2) - (2), Иванов Максим, (985.386 +1.672)
(1042.356 +8.633), Привалов Денис, (4) - (0), Мамедов Искандер, (994.553 -8.633)
(1050.989 +8.876), Привалов Денис, (4) - (0), Зелянин Дмитрий, (1011.778 -8.876)
(1059.865 -5.412), Привалов Денис, (0) - (2), Пинчук Сергей, (1031.178 +5.412)
(1054.453 -5.004), Привалов Денис, (0) - (2), Володин Антон, (1054.191 +5.004)
2015-10-10_national,,,,
(1049.449 +7.766), Привалов Денис, (4) - (0), Смирнов Михаил, (970.507 -7.766)
(1057.215 -1.734), Привалов Денис, (2) - (2), Иванов Максим, (996.354 +1.734)
(1055.481 -9.672), Привалов Денис, (0) - (4), Селин Станислав, (1066.888 +9.672)
(1045.809 +0.941), Привалов Денис, (2) - (2), Ермолаев Алексей, (1078.589 -0.941)
(1046.750 +5.530), Привалов Денис, (2) - (0), Селин Станислав, (1083.713 -5.530)
(1052.280 -4.006), Привалов Денис, (0) - (2), Лапыгин Антон, (1122.263 +4.006)
(1048.274 +4.244), Привалов Денис, (2) - (0), Иванов Максим, (995.309 -4.244)
(1052.517 -4.238), Привалов Денис, (0) - (2), Мухин Анатолий, (1105.884 +4.238)
2016-04-02_spb,,,,
(1048.279 +0.191), Привалов Денис, (2) - (2), Черноножкин Василий, (1054.912 -0.191)
(1048.470 +0.570), Привалов Денис, (2) - (2), Ермолаев Алексей, (1068.311 -0.570)
(1049.041 +9.744), Привалов Денис, (4) - (0), Ковалев Александр, (1040.134 -9.744)
(1058.785 -0.966), Привалов Денис, (2) - (2), Пинчук Сергей, (1025.126 +0.966)
2016-04-23,,,,
(1057.819 -1.714), Привалов Денис, (2) - (2), Иванов Максим, (997.669 +1.714)
(1056.105 +0.274), Привалов Денис, (2) - (2), Ярцев Александр, (1065.621 -0.274)
(1056.378 +8.986), Привалов Денис, (4) - (0), Пинчук Алексей, (1021.020 -8.986)
(1065.364 -8.421), Привалов Денис, (1) - (3), Шеляпин Антон, (941.497 +8.421)
(1056.943 +2.645), Привалов Денис, (2) - (1), Ковалев Александр, (1063.651 -2.645)
