(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-04-23,,,,
(1000.000 -9.957), Пылев Владимир, (0) - (4), Годелашвили Александр, (1001.480 +9.957)
(990.043 -9.731), Пылев Владимир, (0) - (4), Иванов Максим, (999.383 +9.731)
(980.311 +2.284), Пылев Владимир, (2) - (2), Володин Антон, (1061.089 -2.284)
(982.595 +7.434), Пылев Владимир, (4) - (0), Глазова Татьяна, (891.416 -7.434)
2016-05-21,,,,
(990.030 -7.461), Пылев Владимир, (0) - (4), Ярцев Александр, (1080.218 +7.461)
(982.569 +0.373), Пылев Владимир, (2) - (1), Глазова Татьяна, (881.241 -0.373)
(982.941 -9.611), Пылев Владимир, (0) - (4), Пинчук Алексей, (996.450 +9.611)
(973.330 -8.489), Пылев Владимир, (0) - (4), Шурыгин Егор, (1026.223 +8.489)
2016-08-14_beginners,,,,
(964.841 -8.991), Пылев Владимир, (0) - (6), Голубцов Павел, (1000.000 +8.991)
(955.849 -2.942), Пылев Владимир, (3) - (3), Глазова Татьяна, (850.509 +2.942)
(952.907 +1.064), Пылев Владимир, (3) - (3), Попов Виктор, (990.000 -1.064)
(953.970 -10.108), Пылев Владимир, (0) - (6), Курбанов Эмир, (950.225 +10.108)
2016-10-29_national,,,,
(943.863 +1.602), Пылев Владимир, (3) - (3), Сидин Александр, (1000.000 -1.602)
(945.465 -5.726), Пылев Владимир, (0) - (6), Лапыгин Антон, (1104.142 +5.726)
(939.738 -7.035), Пылев Владимир, (0) - (6), Привалов Денис, (1045.931 +7.035)
(932.703 +1.136), Пылев Владимир, (3) - (3), Семенов Олег, (972.358 -1.136)
(933.840 -0.114), Пылев Владимир, (3) - (3), Амирханов Артем, (929.874 +0.114)
