(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2015-05-30,,,,
(1000.000 -5.761), Сахаров Илья, (1) - (3), Старк Сергей, (973.526 +5.761)
(994.239 -9.925), Сахаров Илья, (0) - (4), Амелин Антон, (996.846 +9.925)
(984.315 -10.637), Сахаров Илья, (0) - (4), Галкин Дмитрий, (962.167 +10.637)
(973.678 -10.215), Сахаров Илья, (0) - (4), Пинчук Алексей, (966.204 +10.215)
2015-07-04,,,,
(963.463 -9.789), Сахаров Илья, (0) - (4), Смирнов Михаил, (970.782 +9.789)
(953.673 +1.037), Сахаров Илья, (2) - (2), Бушан Андрей, (989.824 -1.037)
(954.710 -8.986), Сахаров Илья, (0) - (4), Овешников Андрей, (990.069 +8.986)
(945.724 -6.125), Сахаров Илья, (0) - (3), Гребенщиков Леонид, (1010.168 +6.125)
2015-10-10_national,,,,
(939.600 -6.962), Сахаров Илья, (0) - (4), Селин Станислав, (1048.584 +6.962)
(932.638 -5.153), Сахаров Илья, (0) - (4), Зубко Дмитрий, (1116.464 +5.153)
(927.485 +1.854), Сахаров Илья, (2) - (2), Глазова Татьяна, (992.651 -1.854)
(929.338 -10.007), Сахаров Илья, (0) - (4), Колмаков Петр, (929.107 +10.007)
