(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-02-22_spb_city_champs,,,,
(1000.000 -2.500), Семенов Олег, (1) - (2), Ермолаев Алексей, (1000.000 +2.500)
(997.500 -0.216), Семенов Олег, (2) - (2), Трескунов Игорь, (990.000 +0.216)
(997.284 -2.441), Семенов Олег, (1) - (2), Дмитриев Павел, (1000.000 +2.441)
(994.843 +9.866), Семенов Олег, (4) - (0), Малынич Александр, (990.190 -9.866)
2015-02-07_spb,,,,
(1004.709 +0.134), Семенов Олег, (2) - (2), Пинчук Сергей, (1009.357 -0.134)
(1004.843 -7.475), Семенов Олег, (0) - (3), Ярцев Александр, (1006.013 +7.475)
(997.368 -10.380), Семенов Олег, (0) - (4), Мамедов Искандер, (984.173 +10.380)
2016-10-29_national,,,,
(986.988 -4.669), Семенов Олег, (0) - (6), Попов Егор, (1193.509 +4.669)
(982.319 -1.122), Семенов Олег, (3) - (3), Амирханов Артем, (943.162 +1.122)
(981.197 -8.838), Семенов Олег, (0) - (6), Чирва Иван, (1021.738 +8.838)
(972.358 -1.136), Семенов Олег, (3) - (3), Пылев Владимир, (932.703 +1.136)
(971.222 +7.873), Семенов Олег, (6) - (0), Глазова Татьяна, (896.166 -7.873)
