(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2015-01-10_spb,,,,
(1000.000 -9.160), Сергеев Иван, (0) - (4), Володин Антон, (1029.260 +9.160)
(990.840 -9.170), Сергеев Иван, (0) - (4), Елисеев Борис, (1019.736 +9.170)
(981.670 -0.681), Сергеев Иван, (2) - (2), Шеляпин Антон, (957.962 +0.681)
(980.989 +9.860), Сергеев Иван, (4) - (0), Тихомиров Андрей, (976.137 -9.860)
2015-02-07_spb,,,,
(990.849 +6.617), Сергеев Иван, (3) - (0), Шеляпин Антон, (949.761 -6.617)
(997.466 -0.250), Сергеев Иван, (2) - (2), Селина Анна, (988.761 +0.250)
(997.216 -9.532), Сергеев Иван, (0) - (4), Ярцев Александр, (1013.488 +9.532)
(987.684 +2.361), Сергеев Иван, (2) - (2), Сорокин Валентин, (1071.283 -2.361)
(990.045 -10.370), Сергеев Иван, (0) - (4), Мягги Константин, (977.200 +10.370)
2015-03-21,,,,
(979.675 -9.232), Сергеев Иван, (0) - (4), Воронцов Денис, (1006.399 +9.232)
(970.443 -10.635), Сергеев Иван, (0) - (4), Смирнов Михаил, (948.365 +10.635)
(959.808 -5.896), Сергеев Иван, (0) - (4), Новиков Богдан, (1111.339 +5.896)
(953.912 +10.692), Сергеев Иван, (4) - (0), Галкин Дмитрий, (978.009 -10.692)
