(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-07-30_singletone,,,,
(1000.000 -0.365), Сергеева Александра, (2) - (2), Смирнов Михаил, (987.305 +0.365)
(999.635 -11.157), Сергеева Александра, (0) - (4), Пинчук Алексей, (959.270 +11.157)
(988.478 -6.436), Сергеева Александра, (1) - (3), Жигарев Борис, (938.252 +6.436)
(982.043 +7.656), Сергеева Александра, (3) - (0), Куров Вадим, (989.269 -7.656)
(989.698 -7.392), Сергеева Александра, (0) - (3), Новикова Юлия, (994.696 +7.392)
2016-08-14_beginners,,,,
(982.306 -11.864), Сергеева Александра, (0) - (5), Буденная Анна, (1000.000 +11.864)
(970.442 -14.372), Сергеева Александра, (0) - (6), Ратушняк Дмитрий, (985.000 +14.372)
(956.071 -11.150), Сергеева Александра, (1) - (4), Глазова Татьяна, (851.594 +11.150)
(944.921 +0.986), Сергеева Александра, (3) - (3), Медведев Александр, (967.793 -0.986)
2016-10-01,,,,
(945.907 -12.683), Сергеева Александра, (0) - (6), Глушкова Ирина, (1000.000 +12.683)
(933.224 +2.242), Сергеева Александра, (3) - (3), Коновалов Виталий, (985.548 -2.242)
(935.466 -9.885), Сергеева Александра, (0) - (6), Шурыгин Егор, (1058.892 +9.885)
(925.581 -12.546), Сергеева Александра, (0) - (6), Куров Вадим, (982.938 +12.546)
