(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2013-10-13,,,,
(1000.000 -9.474), Смирнов Михаил, (0) - (4), Попов Егор, (1018.285 +9.474)
(990.526 +0.332), Смирнов Михаил, (2) - (2), Шунин Иван, (1002.069 -0.332)
(990.858 +10.276), Смирнов Михаил, (4) - (0), Гончаренко Сергей, (1000.433 -10.276)
(1001.133 -9.636), Смирнов Михаил, (0) - (4), Новиков Богдан, (1013.788 +9.636)
2014-03-30,,,,
(991.498 -6.730), Смирнов Михаил, (0) - (3), Данюшевский Петр, (1027.295 +6.730)
(984.768 +9.592), Смирнов Михаил, (4) - (0), Малич Антон, (970.580 -9.592)
(994.359 +0.630), Смирнов Михаил, (2) - (2), Гребенщиков Леонид, (1016.262 -0.630)
(994.989 -0.008), Смирнов Михаил, (2) - (2), Смирнов Виктор, (994.713 +0.008)
(994.981 +12.223), Смирнов Михаил, (4) - (0), Новиков Богдан, (1073.533 -12.223)
2014-04-19_chronos_protocol,,,,
(1007.204 +9.793), Смирнов Михаил, (4) - (0), Ельшевский Антон, (1000.000 -9.793)
(1016.997 -0.231), Смирнов Михаил, (2) - (2), Иванов Алексей, (1008.986 +0.231)
(1016.766 -9.557), Смирнов Михаил, (0) - (4), Ермолаев Алексей, (1032.165 +9.557)
(1007.209 -10.908), Смирнов Михаил, (0) - (4), Гришин Виктор, (975.564 +10.908)
(996.301 -0.720), Смирнов Михаил, (2) - (2), Колмаков Петр, (971.241 +0.720)
(995.581 -4.486), Смирнов Михаил, (0) - (2), Зубко Дмитрий, (1031.406 +4.486)
(991.095 +5.077), Смирнов Михаил, (2) - (0), Кравченко Зевс, (996.441 -5.077)
(996.172 +4.904), Смирнов Михаил, (2) - (0), Полевиков Александр, (989.518 -4.904)
(1001.076 +5.215), Смирнов Михаил, (2) - (0), Дмитриев Павел, (1016.044 -5.215)
(1006.291 +5.021), Смирнов Михаил, (2) - (0), Смирнов Виктор, (1007.745 -5.021)
(1011.312 +5.488), Смирнов Михаил, (2) - (0), Зубко Дмитрий, (1045.356 -5.488)
(1016.800 +5.331), Смирнов Михаил, (2) - (0), Зубко Дмитрий, (1039.868 -5.331)
2014-06-15,,,,
(1022.132 -7.500), Смирнов Михаил, (0) - (4), Рогозин Антон, (1110.859 +7.500)
(1014.632 +0.891), Смирнов Михаил, (2) - (2), Зубко Дмитрий, (1045.674 -0.891)
(1015.523 -8.232), Смирнов Михаил, (0) - (4), Борц Ларик, (1077.618 +8.232)
(1007.291 -10.705), Смирнов Михаил, (0) - (4), Шурыгин Егор, (982.768 +10.705)
2014-07-05_msk_regional,,,,
(996.586 +9.656), Смирнов Михаил, (4) - (0), Полевиков Александр, (984.614 -9.656)
(1006.242 +1.104), Смирнов Михаил, (2) - (2), Ермолаев Алексей, (1044.761 -1.104)
(1007.346 -1.000), Смирнов Михаил, (2) - (2), Малич Антон, (972.494 +1.000)
(1006.346 +1.055), Смирнов Михаил, (2) - (2), Сизякин Артем, (1043.149 -1.055)
(1007.402 -0.192), Смирнов Михаил, (2) - (2), Пинчук Сергей, (1000.735 +0.192)
(1007.210 -4.283), Смирнов Михаил, (0) - (2), Черноножкин Василий, (1057.377 +4.283)
(1002.927 -3.416), Смирнов Михаил, (0) - (2), Попов Егор, (1116.881 +3.416)
2014-08-02,,,,
(999.510 -0.715), Смирнов Михаил, (2) - (2), Шурыгин Егор, (974.611 +0.715)
(998.795 +10.003), Смирнов Михаил, (4) - (0), Максимов Владимир, (998.893 -10.003)
(1008.798 +3.425), Смирнов Михаил, (2) - (2), Рогозин Антон, (1132.812 -3.425)
(1012.223 -9.891), Смирнов Михаил, (0) - (4), Пинчук Сергей, (1016.005 +9.891)
(1002.332 +1.040), Смирнов Михаил, (2) - (2), Зубко Дмитрий, (1038.597 -1.040)
2014-08-30,,,,
(1003.372 +1.105), Смирнов Михаил, (2) - (2), Пинчук Сергей, (1041.923 -1.105)
(1004.477 -10.311), Смирнов Михаил, (0) - (4), Шурыгин Егор, (993.659 +10.311)
