(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-08-30,,,,
(1000.000 -6.258), Старк Сергей, (0) - (4), Рогозин Антон, (1136.658 +6.258)
(993.742 -8.378), Старк Сергей, (0) - (4), Борц Ларик, (1050.593 +8.378)
(985.364 -10.825), Старк Сергей, (0) - (4), Новикова Лилия, (956.625 +10.825)
(974.539 -1.013), Старк Сергей, (2) - (2), Колмаков Петр, (939.210 +1.013)
2015-05-30,,,,
(973.526 +5.761), Старк Сергей, (3) - (1), Сахаров Илья, (1000.000 -5.761)
(979.286 -9.190), Старк Сергей, (0) - (4), Шурыгин Егор, (1007.495 +9.190)
(970.096 -10.189), Старк Сергей, (0) - (4), Пинчук Алексей, (963.535 +10.189)
(959.907 -10.295), Старк Сергей, (0) - (4), Гаврилов Андрей, (949.654 +10.295)
