(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-11-29_spb,,,,
(1000.000 -10.719), Степанович Сергей, (0) - (4), Селина Анна, (974.987 +10.719)
(989.281 -8.528), Степанович Сергей, (0) - (4), Привалов Денис, (1040.810 +8.528)
(980.754 -9.432), Степанович Сергей, (0) - (4), Селин Станислав, (1000.515 +9.432)
(971.322 -5.519), Степанович Сергей, (1) - (3), Шеляпин Антон, (953.269 +5.519)
2015-01-10_spb,,,,
(965.803 -7.349), Степанович Сергей, (0) - (4), Сорокин Валентин, (1060.157 +7.349)
(958.454 -7.676), Степанович Сергей, (0) - (3), Шеляпин Антон, (950.286 +7.676)
(950.777 +0.750), Степанович Сергей, (2) - (2), Тихомиров Андрей, (976.887 -0.750)
(951.527 -7.646), Степанович Сергей, (0) - (4), Привалов Денис, (1034.894 +7.646)
