(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-04-02_spb,,,,
(1000.000 +9.644), Чирва Иван, (4) - (0), Елисеев Борис, (987.621 -9.644)
(1009.644 +3.124), Чирва Иван, (2) - (2), Лапыгин Антон, (1121.935 -3.124)
(1012.768 +9.649), Чирва Иван, (4) - (0), Иванов Максим, (1000.557 -9.649)
(1022.417 -10.244), Чирва Иван, (0) - (4), Пинчук Алексей, (1013.931 +10.244)
(1012.172 -4.746), Чирва Иван, (0) - (2), Шурыгин Егор, (1029.862 +4.746)
(1007.427 +6.496), Чирва Иван, (2) - (0), Селин Станислав, (1114.629 -6.496)
(1013.922 -4.180), Чирва Иван, (0) - (2), Ярцев Александр, (1071.443 +4.180)
2016-05-28_SPB_regional,,,,
(1009.743 +0.717), Чирва Иван, (2) - (2), Шурыгин Егор, (1034.712 -0.717)
(1010.460 -0.291), Чирва Иван, (2) - (2), Смирнов Антон, (1000.351 +0.291)
(1010.169 +14.608), Чирва Иван, (4) - (0), Попов Егор, (1183.305 -14.608)
(1024.777 -0.308), Чирва Иван, (2) - (2), Иванов Максим, (1014.066 +0.308)
(1024.469 +1.812), Чирва Иван, (2) - (2), Ярцев Александр, (1088.115 -1.812)
(1026.281 -4.591), Чирва Иван, (0) - (2), Пинчук Сергей, (1054.748 +4.591)
(1021.689 +4.598), Чирва Иван, (2) - (0), Галкин Дмитрий, (993.722 -4.598)
(1026.288 -4.168), Чирва Иван, (0) - (2), Ярцев Александр, (1084.611 +4.168)
