(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-08-30,,,,
(1000.000 -3.030), Шеляпин Антон, (1) - (2), Селина Анна, (975.391 +3.030)
(996.970 -9.985), Шеляпин Антон, (0) - (4), Селин Станислав, (997.500 +9.985)
(986.985 -7.644), Шеляпин Антон, (0) - (3), Иванов Максим, (980.296 +7.644)
(979.341 +0.079), Шеляпин Антон, (2) - (2), Зелянин Дмитрий, (982.093 -0.079)
2014-11-29_spb,,,,
(979.420 -9.408), Шеляпин Антон, (0) - (4), Тихомиров Андрей, (1000.000 +9.408)
(970.011 -9.578), Шеляпин Антон, (0) - (4), Зелянин Дмитрий, (984.698 +9.578)
(960.434 -7.165), Шеляпин Антон, (0) - (4), Черноножкин Василий, (1061.693 +7.165)
(953.269 +5.519), Шеляпин Антон, (3) - (1), Степанович Сергей, (971.322 -5.519)
2015-01-10_spb,,,,
(958.788 -8.502), Шеляпин Антон, (0) - (4), Елисеев Борис, (1011.235 +8.502)
(950.286 +7.676), Шеляпин Антон, (3) - (0), Степанович Сергей, (958.454 -7.676)
(957.962 +0.681), Шеляпин Антон, (2) - (2), Сергеев Иван, (981.670 -0.681)
(958.643 -8.883), Шеляпин Антон, (0) - (4), Никитин Сергей, (997.632 +8.883)
2015-02-07_spb,,,,
(949.761 -6.617), Шеляпин Антон, (0) - (3), Сергеев Иван, (990.849 +6.617)
(943.144 -8.133), Шеляпин Антон, (0) - (4), Ковалев Александр, (1008.764 +8.133)
(935.010 -1.173), Шеляпин Антон, (1) - (2), Дмитриев Павел, (997.153 +1.173)
(933.838 +1.123), Шеляпин Антон, (2) - (2), Карташев Дмитрий, (973.037 -1.123)
2015-03-21,,,,
(934.961 +5.098), Шеляпин Антон, (2) - (2), Новиков Богдан, (1130.357 -5.098)
(940.059 +3.112), Шеляпин Антон, (2) - (1), Пинчук Алексей, (968.476 -3.112)
(943.171 -7.264), Шеляпин Антон, (0) - (4), Пинчук Сергей, (1040.709 +7.264)
(935.907 -8.661), Шеляпин Антон, (0) - (4), Никитин Сергей, (982.703 +8.661)
(927.245 -6.312), Шеляпин Антон, (0) - (3), Гаврилов Андрей, (982.733 +6.312)
2015-10-10_national,,,,
(920.933 +3.627), Шеляпин Антон, (2) - (2), Ярцев Александр, (1052.965 -3.627)
(924.560 -6.144), Шеляпин Антон, (0) - (4), Ермолаев Алексей, (1065.837 +6.144)
(918.416 +2.232), Шеляпин Антон, (2) - (2), Зелянин Дмитрий, (997.302 -2.232)
(920.649 +1.060), Шеляпин Антон, (2) - (2), Бушан Андрей, (957.604 -1.060)
(921.708 +11.913), Шеляпин Антон, (4) - (0), Амирханов Артем, (989.003 -11.913)
(933.621 +6.439), Шеляпин Антон, (2) - (0), Володин Антон, (1036.504 -6.439)
(940.060 -4.555), Шеляпин Антон, (0) - (2), Годелашвили Александр, (971.036 +4.555)
(935.505 -3.295), Шеляпин Антон, (0) - (2), Антонов Евгений, (1058.944 +3.295)
2016-04-02_spb,,,,
(932.210 -2.366), Шеляпин Антон, (0) - (3), Попов Егор, (1223.182 +2.366)
(929.844 -7.779), Шеляпин Антон, (0) - (4), Смирнов Антон, (1008.320 +7.779)
(922.065 +5.334), Шеляпин Антон, (2) - (2), Рогозин Антон, (1128.746 -5.334)
(927.399 +11.068), Шеляпин Антон, (4) - (0), Овсяников Денис, (964.648 -11.068)
2016-04-23,,,,
(938.467 +6.363), Шеляпин Антон, (2) - (1), Рогозин Антон, (1136.352 -6.363)
(944.830 -3.333), Шеляпин Антон, (0) - (4), Попов Егор, (1224.452 +3.333)
(941.497 +8.421), Шеляпин Антон, (3) - (1), Привалов Денис, (1065.364 -8.421)
(949.918 -6.731), Шеляпин Антон, (0) - (4), Ярцев Александр, (1067.820 +6.731)
2016-05-28_SPB_regional,,,,
(943.187 -9.042), Шеляпин Антон, (0) - (4), Галкин Дмитрий, (976.584 +9.042)
(934.145 -8.367), Шеляпин Антон, (0) - (4), Елисеев Борис, (991.396 +8.367)
(925.779 -3.962), Шеляпин Антон, (0) - (4), Попов Егор, (1168.697 +3.962)
(921.817 -8.521), Шеляпин Антон, (0) - (4), Пинчук Алексей, (973.567 +8.521)
2016-10-29_national,,,,
(913.296 +3.912), Шеляпин Антон, (3) - (2), Новикова Юлия, (1009.273 -3.912)
(917.207 +13.889), Шеляпин Антон, (6) - (0), Привалов Денис, (1059.819 -13.889)
(931.096 +2.629), Шеляпин Антон, (3) - (3), Иванов Максим, (1024.629 -2.629)
(933.725 +13.802), Шеляпин Антон, (6) - (0), Шурыгин Егор, (1072.782 -13.802)
(947.527 +3.375), Шеляпин Антон, (3) - (3), Пинчук Сергей, (1069.555 -3.375)
(950.901 -4.676), Шеляпин Антон, (0) - (3), Овсяников Денис, (973.444 +4.676)
(946.225 -2.353), Шеляпин Антон, (0) - (3), Зубко Дмитрий, (1150.993 +2.353)
