(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-02-22_spb_city_champs,,,,
(1000.000 -10.000), Волков Кирилл, (0) - (4), Елисеев Борис, (1000.000 +10.000)
(990.000 -9.640), Волков Кирилл, (0) - (4), Ермолаев Алексей, (1002.500 +9.640)
(980.360 -10.467), Волков Кирилл, (0) - (4), Пинчук Сергей, (964.122 +10.467)
(969.893 -9.422), Волков Кирилл, (0) - (4), Селина Анна, (990.006 +9.422)
2014-04-19_chronos_protocol,,,,
(960.471 -9.151), Волков Кирилл, (0) - (4), Володин Антон, (990.030 +9.151)
(951.320 -9.875), Волков Кирилл, (0) - (4), Гончаренко Сергей, (955.651 +9.875)
(941.444 -0.476), Волков Кирилл, (2) - (2), Малич Антон, (924.897 +0.476)
(940.968 +0.999), Волков Кирилл, (2) - (2), Леньшин Егор, (975.798 -0.999)
(941.968 +1.028), Волков Кирилл, (2) - (2), Ельшевский Антон, (977.820 -1.028)
