(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-08-30,,,,
(1000.000 -5.908), Овешников Андрей, (0) - (4), Попов Егор, (1151.010 +5.908)
(994.092 -9.164), Овешников Андрей, (0) - (4), Нащекин Алексей, (1023.210 +9.164)
(984.928 +10.146), Овешников Андрей, (4) - (0), Мухин Анатолий, (989.994 -10.146)
(995.074 -12.094), Овешников Андрей, (0) - (4), Пинчук Алексей, (921.244 +12.094)
2014-09-06_draft,,,,
(982.980 +0.417), Овешников Андрей, (2) - (2), Шурыгин Егор, (997.484 -0.417)
(983.397 +0.800), Овешников Андрей, (2) - (2), Ковалев Александр, (1011.258 -0.800)
(984.198 +2.623), Овешников Андрей, (2) - (2), Зубко Дмитрий, (1077.511 -2.623)
(986.821 +11.783), Овешников Андрей, (4) - (0), Пинчук Сергей, (1049.436 -11.783)
2014-10-04_national,,,,
(998.604 +0.598), Овешников Андрей, (2) - (2), Дмитриев Павел, (1019.393 -0.598)
(999.201 -1.591), Овешников Андрей, (2) - (2), Колмаков Петр, (943.439 +1.591)
(997.610 -8.393), Овешников Андрей, (0) - (4), Черноножкин Василий, (1053.943 +8.393)
(989.217 +11.012), Овешников Андрей, (4) - (0), Пинчук Сергей, (1024.499 -11.012)
(1000.229 -0.747), Овешников Андрей, (2) - (2), Селина Анна, (974.240 +0.747)
