(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2015-05-30,,,,
(1000.000 +8.782), Гребенщиков Леонид, (4) - (0), Гаврилов Андрей, (957.471 -8.782)
(1008.782 -1.318), Гребенщиков Леонид, (2) - (2), Смирнов Михаил, (962.733 +1.318)
(1007.464 -0.001), Гребенщиков Леонид, (2) - (2), Амелин Антон, (1007.415 +0.001)
(1007.463 -0.685), Гребенщиков Леонид, (2) - (2), Ярцев Александр, (983.611 +0.685)
(1006.777 +9.733), Гребенщиков Леонид, (4) - (0), Шурыгин Егор, (997.489 -9.733)
2015-07-04,,,,
(1016.510 -1.001), Гребенщиков Леонид, (2) - (2), Смирнов Михаил, (981.614 +1.001)
(1015.509 -10.580), Гребенщиков Леонид, (0) - (4), Ярцев Александр, (995.318 +10.580)
(1004.929 -9.849), Гребенщиков Леонид, (0) - (4), Ковалев Александр, (1010.167 +9.849)
(995.079 +6.467), Гребенщиков Леонид, (3) - (0), Сахаров Илья, (946.905 -6.467)
