(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-12-13,,,,
(1000.000 +10.000), Попов Егор, (4) - (0), Жигарев Борис, (1000.000 -10.000)
(1010.000 -0.008), Попов Егор, (2) - (2), Мухин Анатолий, (1009.712 +0.008)
(1009.992 +9.915), Попов Егор, (4) - (0), Мамедов Искандер, (1007.047 -9.915)
(1019.907 -0.609), Попов Егор, (2) - (2), Ярцев Александр, (998.716 +0.609)
(1019.298 +9.269), Попов Егор, (4) - (0), Пинчук Сергей, (993.843 -9.269)
2015-02-07_spb,,,,
(1028.566 -0.837), Попов Егор, (2) - (2), Селин Станислав, (999.433 +0.837)
(1027.730 -0.769), Попов Егор, (2) - (2), Черноножкин Василий, (1000.975 +0.769)
(1026.961 +8.410), Попов Егор, (4) - (0), Мухин Анатолий, (971.253 -8.410)
(1035.372 +10.272), Попов Егор, (4) - (0), Володин Антон, (1044.826 -10.272)
(1045.644 -1.106), Попов Егор, (2) - (2), Пинчук Сергей, (1007.065 +1.106)
(1044.538 -5.456), Попов Егор, (0) - (2), Ярцев Александр, (1012.786 +5.456)
(1039.082 +4.202), Попов Егор, (2) - (0), Тихомиров Андрей, (983.155 -4.202)
(1043.284 +4.510), Попов Егор, (2) - (0), Пинчук Сергей, (1009.109 -4.510)
(1047.794 +4.583), Попов Егор, (2) - (0), Ярцев Александр, (1018.737 -4.583)
(1052.377 +4.576), Попов Егор, (2) - (0), Селин Станислав, (1022.810 -4.576)
(1056.952 -4.741), Попов Егор, (0) - (2), Зубко Дмитрий, (1074.980 +4.741)
2015-03-01,,,,
(1052.211 +8.638), Попов Егор, (4) - (0), Пинчук Сергей, (1004.599 -8.638)
(1060.850 -12.200), Попов Егор, (0) - (4), Мамедов Искандер, (983.132 +12.200)
(1048.649 -1.101), Попов Егор, (2) - (2), Антонов Евгений, (1010.225 +1.101)
(1047.548 +8.259), Попов Егор, (4) - (0), Шурыгин Егор, (986.419 -8.259)
(1055.806 -2.217), Попов Егор, (2) - (2), Мухин Анатолий, (977.481 +2.217)
2015-03-21,,,,
(1053.589 +8.470), Попов Егор, (4) - (0), Галкин Дмитрий, (1000.000 -8.470)
(1062.059 -2.320), Попов Егор, (2) - (2), Шурыгин Егор, (979.957 +2.320)
(1059.739 -1.308), Попов Егор, (2) - (2), Сизякин Артем, (1014.031 +1.308)
(1058.431 -0.950), Попов Егор, (2) - (2), Лапыгин Антон, (1025.326 +0.950)
(1057.481 -0.884), Попов Егор, (2) - (2), Селин Станислав, (1026.685 +0.884)
(1056.597 +5.499), Попов Егор, (2) - (0), Зубко Дмитрий, (1091.405 -5.499)
(1062.096 +4.550), Попов Егор, (2) - (0), Сизякин Артем, (1030.764 -4.550)
(1066.646 +4.716), Попов Егор, (2) - (0), Лапыгин Антон, (1046.922 -4.716)
(1071.363 -5.346), Попов Егор, (0) - (2), Лапыгин Антон, (1047.296 +5.346)
2015-04-25,,,,
(1066.017 +7.133), Попов Егор, (4) - (0), Смирнов Михаил, (963.530 -7.133)
(1073.150 -12.358), Попов Егор, (0) - (4), Шурыгин Егор, (989.657 +12.358)
(1060.792 +7.353), Попов Егор, (4) - (0), Галкин Дмитрий, (966.568 -7.353)
(1068.145 +7.828), Попов Егор, (4) - (0), Ярцев Александр, (991.478 -7.828)
(1075.973 +9.479), Попов Егор, (4) - (0), Антонов Евгений, (1057.866 -9.479)
2015-05-30,,,,
(1085.452 +8.937), Попов Егор, (4) - (0), Антонов Евгений, (1048.387 -8.937)
