(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-11-29_spb,,,,
(1000.000 0.000), Селин Станислав, (2) - (2), Володин Антон, (1000.000 -0.000)
(1000.000 -10.000), Селин Станислав, (0) - (4), Лапыгин Антон, (1000.000 +10.000)
(990.000 +9.712), Селин Станислав, (4) - (0), Степанович Сергей, (980.000 -9.712)
(999.712 -0.279), Селин Станислав, (2) - (2), Черноножкин Василий, (990.008 +0.279)
2015-02-07_spb,,,,
(999.433 +0.837), Селин Станислав, (2) - (2), Попов Егор, (1028.566 -0.837)
(1000.270 +7.233), Селин Станислав, (3) - (0), Мамедов Искандер, (987.886 -7.233)
(1007.502 +0.534), Селин Станислав, (2) - (2), Зелянин Дмитрий, (1026.062 -0.534)
(1008.036 +9.790), Селин Станислав, (4) - (0), Черноножкин Василий, (1000.722 -9.790)
(1017.826 -0.149), Селин Станислав, (2) - (2), Ярцев Александр, (1012.637 +0.149)
(1017.676 +4.570), Селин Станислав, (2) - (0), Тихомиров Андрей, (987.725 -4.570)
(1022.246 +4.942), Селин Станислав, (2) - (0), Ярцев Александр, (1018.242 -4.942)
(1027.189 -4.378), Селин Станислав, (0) - (2), Зубко Дмитрий, (1070.601 +4.378)
(1022.810 -4.576), Селин Станислав, (0) - (2), Попов Егор, (1052.377 +4.576)
2015-03-21,,,,
(1018.235 -0.437), Селин Станислав, (2) - (2), Пинчук Алексей, (1003.045 +0.437)
(1017.798 -0.555), Селин Станислав, (2) - (2), Новиков Богдан, (998.506 +0.555)
(1017.243 +9.492), Селин Станислав, (4) - (0), Гаврилов Андрей, (999.587 -9.492)
(1026.735 -0.050), Селин Станислав, (2) - (2), Пинчук Сергей, (1024.996 +0.050)
(1026.685 +0.884), Селин Станислав, (2) - (2), Попов Егор, (1057.481 -0.884)
(1027.569 -4.983), Селин Станислав, (0) - (2), Ермолаев Алексей, (1028.766 +4.983)
(1022.587 +5.368), Селин Станислав, (2) - (0), Ковалев Александр, (1048.171 -5.368)
(1027.954 +4.975), Селин Станислав, (2) - (0), Сизякин Артем, (1026.214 -4.975)
(1032.929 -4.846), Селин Станислав, (0) - (2), Антонов Евгений, (1043.647 +4.846)
2015-10-10_national,,,,
(1028.083 +7.530), Селин Станислав, (4) - (0), Сахаров Илья, (940.438 -7.530)
(1035.613 +10.794), Селин Станислав, (4) - (0), Антонов Евгений, (1063.274 -10.794)
(1046.407 +1.177), Селин Станислав, (2) - (2), Мухин Анатолий, (1087.496 -1.177)
(1047.584 +9.181), Селин Станислав, (4) - (0), Привалов Денис, (1019.049 -9.181)
(1056.765 +7.381), Селин Станислав, (4) - (0), Жигарев Борис, (963.617 -7.381)
(1064.146 -5.763), Селин Станислав, (0) - (2), Привалов Денис, (1010.727 +5.763)
(1058.384 +4.654), Селин Станислав, (2) - (0), Ермолаев Алексей, (1034.284 -4.654)
(1063.037 -4.597), Селин Станислав, (0) - (2), Мухин Анатолий, (1091.133 +4.597)
