(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-11-29_spb,,,,
(1000.000 -10.000), Степанович Сергей, (0) - (4), Селина Анна, (1000.000 +10.000)
(990.000 -10.000), Степанович Сергей, (0) - (4), Привалов Денис, (990.000 +10.000)
(980.000 -9.712), Степанович Сергей, (0) - (4), Селин Станислав, (990.000 +9.712)
(970.288 -5.000), Степанович Сергей, (1) - (3), Шеляпин Антон, (970.279 +5.000)
2015-01-10_spb,,,,
(965.288 -8.446), Степанович Сергей, (0) - (4), Сорокин Валентин, (1019.729 +8.446)
(956.842 -7.296), Степанович Сергей, (0) - (3), Шеляпин Антон, (966.280 +7.296)
(949.545 +0.728), Степанович Сергей, (2) - (2), Тихомиров Андрей, (974.884 -0.728)
(950.273 -8.850), Степанович Сергей, (0) - (4), Привалов Денис, (990.418 +8.850)
