(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-04-02_spb,,,,
(1000.000 +10.000), Володин Антон, (4) - (0), Дойников Дмитрий, (1000.000 -10.000)
(1010.000 -10.633), Володин Антон, (0) - (4), Пинчук Алексей, (987.967 +10.633)
(999.367 +9.999), Володин Антон, (4) - (0), Черноножкин Василий, (999.342 -9.999)
(1009.366 +0.021), Володин Антон, (2) - (2), Лапыгин Антон, (1010.111 -0.021)
(1009.387 +5.002), Володин Антон, (2) - (0), Иванов Максим, (1009.558 -5.002)
(1014.390 +5.297), Володин Антон, (2) - (0), Ярцев Александр, (1035.054 -5.297)
(1019.687 +4.870), Володин Антон, (2) - (0), Лапыгин Антон, (1010.630 -4.870)
(1024.557 +4.805), Володин Антон, (2) - (0), Лапыгин Антон, (1011.017 -4.805)
2016-04-23,,,,
(1029.362 -10.572), Володин Антон, (0) - (4), Пинчук Алексей, (1009.475 +10.572)
(1018.790 -0.546), Володин Антон, (2) - (2), Лапыгин Антон, (999.793 +0.546)
(1018.244 +8.125), Володин Антон, (4) - (0), Овсяников Денис, (952.304 -8.125)
(1026.368 -1.312), Володин Антон, (2) - (2), Пылев Владимир, (980.520 +1.312)
(1025.056 +7.518), Володин Антон, (4) - (0), Бутаков Никита, (936.985 -7.518)
2016-05-28_SPB_regional,,,,
(1032.574 -1.315), Володин Антон, (2) - (2), Галкин Дмитрий, (986.615 +1.315)
(1031.259 -0.484), Володин Антон, (2) - (2), Иванов Максим, (1014.438 +0.484)
(1030.776 -10.324), Володин Антон, (0) - (4), Пинчук Сергей, (1019.518 +10.324)
(1020.452 -10.235), Володин Антон, (0) - (4), Лапыгин Антон, (1012.300 +10.235)
